WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_014807 44.4426 59.2012 90.7245 122.646 142.019 142.086 78.4147
XLOC_013064 10.8078 10.2286 8.47218 14.9121 15.5139 6.05638 1.33096
XLOC_012837 1.10812 2.17891 6.65188 12.024 26.6477 167.235 295.234
XLOC_003529 0.950069 2.77964 4.12171 5.84086 11.9821 53.5415 47.2567
XLOC_000687 23.1864 30.7075 35.2614 31.2707 35.7056 77.3937 69.7794
XLOC_018330 16.6894 28.2138 22.602 13.5666 11.9482 16.0839 23.1197
XLOC_029592 6.88498 6.39449 9.38097 10.7465 13.1347 32.04 40.591
XLOC_013703 5.81278 6.2771 3.91103 2.76666 5.33097 16.8174 53.3854
XLOC_026267 1.28323 0.969604 0.507802 0.299161 0.500318 3.5409 13.0298
XLOC_015660 128.984 39.4161 10.1129 10.2438 12.5172 16.7679 25.1495
XLOC_009140 13.9409 15.3818 21.8856 22.1874 21.6056 22.8763 14.0441
XLOC_009222 23.6752 16.8012 12.7949 10.6761 9.97957 11.9118 11.9574
XLOC_003894 6.66054 6.12308 4.80085 2.7792 2.25693 0.843723 0.809415
XLOC_018120 33.5774 56.3684 76.9684 60.6873 61.7795 33.8425 7.60479
XLOC_016645 5.53603 2.11787 0.328523 0.152882 0.069514 0.0425173 0.0221519
XLOC_009562 13.3588 12.877 12.5116 12.0591 11.5914 8.66747 9.04023
XLOC_000385 9.39832 9.52568 11.5098 10.939 12.2264 21.0664 23.4992
XLOC_018861 10.8281 8.79096 5.93113 5.47995 7.09438 9.75008 8.67501
XLOC_018860 0.102863 0.0772595 0.0975513 0.0455641 0 0.06349 0
XLOC_009706 51.3836 21.9298 6.96605 10.2925 17.0865 13.5523 11.4606
XLOC_024561 47.7451 52.8142 31.0012 18.8979 18.3729 22.2279 30.5179
XLOC_014430 21.3405 21.2145 17.0511 12.9295 11.1496 7.90122 9.30555
XLOC_015644 0 0.0566391 0.0292387 0.0289173 0.0221212 0.0339195 0.102866
XLOC_031799 0.187222 0.145617 0.0583839 0.00628581 0.0179605 0 0
XLOC_029847 1.21009 2.72637 6.3294 14.786 25.0008 49.1673 42.4194
XLOC_031798 11.4101 9.23745 3.94068 3.07606 2.52332 2.64713 3.32941
XLOC_030327 0.0141934 0 0 0.0131715 0.0400951 0.261844 0.429164
XLOC_025571 2.43371 2.36247 3.49129 4.31765 4.78778 6.28902 7.20179
XLOC_005286 122.627 56.6795 0.728486 0.141114 0.015728 0.278821 0
XLOC_005591 6.45535 3.02341 0.542562 0.0662117 0.0900535 0.0308838 0
XLOC_005076 4.16411 40.1562 449.742 390.821 123.708 39.3794 72.3676
XLOC_011901 1.58444 2.31167 3.03605 1.13757 0.59481 0.637606 2.75699
XLOC_021567 18.6313 15.0363 14.8733 15.4756 12.258 9.86464 8.26685
XLOC_031116 6.3261 4.06033 1.18572 1.24143 0.99173 0.410847 0
XLOC_000154 0 0 1.27822 47.1997 138.347 568.475 737.321
XLOC_028514 18.616 12.4876 1.96771 1.10761 0.665806 0.419108 0.297583
XLOC_012505 12.3588 17.3625 22.0204 18.093 14.2681 9.11999 6.10789
XLOC_021419 2.45328 2.04183 1.54697 0.909082 0.828651 0.920963 0.562331
