WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7 WT_8_8 WT_9_9 WT_10_10 WT_11_11 WT_12_12 WT_13_13 WT_14_14 WT_15_15 WT_16_16 WT_17_17 WT_18_18 WT_19_19 WT_20_20 WT_21_21 WT_22_22 WT_23_23 WT_24_24 WT_25_52 WT_26_53 WT_27_61 WT_28_65 WT_29_66 WT_30_72 WT_31_85 WT_32_92 WT_33_94 WT_34_96 WT_35_100 WT_36_102 WT_37_105 WT_38_222 WT_39_224 WT_40_228 SS_1_51 SS_2_54 SS_3_55 SS_4_56 SS_5_57 SS_6_58 SS_7_59 SS_8_60 SS_9_62 SS_10_63 SS_11_64 SS_12_67 SS_13_68 SS_14_69 SS_15_70 SS_16_71 SS_17_73 SS_18_74 SS_19_75 SS_20_76 SS_21_77 SS_22_78 SS_23_79 SS_24_80 SS_25_81 SS_26_82 SS_27_83 SS_28_84 SS_29_86 SS_30_87 SS_31_88 SS_32_89 SS_33_90 SS_34_91 SS_35_93 SS_36_95 SS_37_97 SS_38_98 SS_39_99 SS_40_101 SS_41_103 SS_42_104 SS_43_223 SS_44_225 SS_45_226 SS_46_227 SS_47_229 SS_48_230 SS_49_231 SS_50_232 TS_1_27_t60 TS_3_35_t48 TS_3_36_t96 TS_4_38_t44 TS_4_39_t104 TS_5_41_t44 TS_5_42_t104 TS_5_44_t188 TS_1_25_t0 TS_2_28_t0 TS_2_29_t1 TS_5_42_t104 TS_6_45_t0 TS_6_46_t1 TS_9_116_t4 TS_9_116_t4 TS_9_117_t10
G1 8.28435 8.84403333333333 8.7444 9.56936666666667 8.752 10.637 11.3136666666667 11.354 8.34 8.30055 9.38163333333333 10.6695 10.0896666666667 10.90225 9.9472 9.5046 8.90495 9.40676666666667 9.946 9.72403333333333 9.11366666666667 9.7474 9.13013333333333 8.68333333333333 9.16715 9.6635 10.226325 11.392 10.0243 6.87935 9.8994 10.742 9.66983333333333 10.11 10.3043333333333 10.5576666666667 10.66 9.62843333333333 8.75686666666667 8.5689 9.24975 9.5713 9.48015 9.67255 9.8641 10.62375 10.7451666666667 10.607 8.33745 8.3528 11.3105 10.3923333333333 8.32726666666667 8.4364 8.5154 9.2729 10.209 8.1372 10.1095 8.4217 10.5525 7.60655 10.63 8.0077 11.068 10.0001 10.6555 6.6546 9.8998 9.82555 10.157 10.2953333333333 10.2736666666667 10.199 9.65376666666667 9.85216666666667 10.2865 10.301 10.0247 10.2873333333333 9.238 10.6205 10.1219333333333 8.76003333333333 8.97506666666667 8.82596666666667 8.1069 8.96583333333333 10.378 11.02375 9.8629 9.81756666666667 9.75 9.9903 9.61593333333333 9.9903 9.61593333333333 10.1933333333333 9.40566666666667 10.617 9.8683 9.61593333333333 10.536 9.7761 9.1412 9.1412 8.8261
G2 9.7888 9.74363333333333 10.0758666666667 9.6586 9.4175 9.2244 9.4355 8.8794 9.84993333333333 9.48125 9.4809 9.52935 9.2931 9.433725 9.58903333333333 9.65533333333333 9.81605 9.8575 10.8596666666667 9.4712 9.51123333333333 9.8166 9.90023333333333 10.1334666666667 9.2617 9.538 8.857975 9.3269 9.02953333333333 8.6136 9.0088 9.15 10.0190666666667 8.7048 9.1169 9.1611 9.00555 8.93496666666667 9.75823333333333 8.2928 9.25975 9.4047 9.1296 9.72715 9.491625 9.086225 9.18046666666667 9.066525 9.23215 9.17406666666667 9.491 9.5341 9.07856666666667 9.0312 9.10153333333333 8.5197 9.71795 8.3378 9.8842 8.2092 10.0346 8.517 9.70525 7.6818 9.00755 7.8869 8.44895 9.16335 8.94605 9.09115 9.0693 9.08046666666667 8.9081 8.91766666666667 9.27503333333333 10.291 8.54165 8.7297 8.6075 9.2232 9.17806666666667 9.0915 9.25126666666667 9.26 9.49873333333333 9.22203333333333 9.1886 9.9783 10.0327 10.157 8.08236666666667 9.286 9.30826666666667 7.2154 7.93903333333333 7.2154 7.93903333333333 7.55956666666667 8.0161 9.4653 9.4279 7.93903333333333 9.4384 9.2083 8.4781 8.4781 8.3232
G3 10.205 10.163 10.472 10.9863333333333 11.8605 12.428 12.3863333333333 12.054 10.8493333333333 10.492 11.243 12.37075 12.192 12.131 11.559 10.373 12.1745 10.4066666666667 11.3676666666667 11.643 10.994 9.93183333333333 10.1973333333333 10.8526666666667 10.864 10.5627 10.14125 10.6805 10.948 9.1841 11.0125 11.552 11.073 12.4445 10.405 11.5753333333333 11.8495 10.2796666666667 9.9711 9.9492 10.9955 10.4385 8.05425 8.9658 10.478 10.38065 10.4611666666667 10.616 11.1935 10.9626666666667 10.5525 9.86583333333333 10.9843333333333 10.6555 10.6793333333333 11.6805 11.537 10.8365 11.632 9.7195 12.007 11.1645 12.1735 10.8688 12.4975 11.1915 11.9215 10.443 10.9675 10.929 11.632 11.6613333333333 11.6916666666667 11.6943333333333 10.7816666666667 10.4903333333333 11.588 12.6075 11.7615 10.2046666666667 10.4001333333333 11.3305 10.7323333333333 9.60873333333333 9.747 9.5633 10.744 11.6893333333333 11.8923333333333 11.775 11.9663333333333 11.997 11.772 10.0646 10.5073333333333 10.0646 10.5073333333333 10.5466666666667 12.681 12.339 10.877 10.5073333333333 12.216 11.654 10.152 10.152 9.8952
G4 9.20135 9.87546666666667 9.56016666666667 8.5176 7.757 7.5203 8.0097 7.2204 9.22673333333333 10.714 8.6535 8.0744 7.5873 7.744925 8.74683333333333 10.729 8.66595 9.36333333333333 7.90773333333333 8.71153333333333 8.3608 9.37053333333333 9.15383333333333 9.3645 7.8593 8.1101 7.94665 8.12245 7.77873333333333 7.26135 8.1537 7.7607 8.20666666666667 7.83835 7.66213333333333 7.85756666666667 8.0814 8.10936666666667 8.05556666666667 7.548 7.6176 7.99055 8.0771 8.64175 7.968625 7.86095 7.68443333333333 7.735025 7.83355 7.841 8.30745 8.42606666666667 8.07083333333333 8.10145 7.96426666666667 8.108 8.24285 5.7306 7.89665 5.5462 8.45235 7.93535 8.29595 9.2851 7.9386 7.5864 8.8091 7.034 8.2698 8.27045 7.79616666666667 7.90006666666667 7.89826666666667 8.08176666666667 7.98733333333333 8.942 7.4249 7.69255 7.61075 7.67493333333333 8.42026666666667 8.16805 8.43066666666667 8.34023333333333 8.17266666666667 8.0383 8.11266666666667 7.87633333333333 7.8747 8.027175 9.37323333333333 7.75393333333333 7.56366666666667 7.9588 9.1144 7.9588 9.1144 8.2883 7.9213 7.9459 7.6054 9.1144 8.0933 7.8739 7.8125 7.8125 7.4432
G5 10.368 10.4493333333333 10.6616666666667 10.937 9.93575 10.725 11.012 10.709 11.0163333333333 10.063 10.889 10.84475 10.9373333333333 10.93225 11.0636666666667 10.337 10.135 10.8456666666667 10.622 10.9486666666667 10.8493333333333 10.339 11.095 10.8483333333333 10.2915 10.3285 10.868 10.358 10.5743333333333 10.2055 10.6645 10.1656666666667 10.7926666666667 10.53 10.7676666666667 9.98916666666667 10.524 11.1286666666667 11.12 10.7985 10.1845 10.6285 10.2645 10.387 10.8965 11.1045 10.9378333333333 10.8775 10.4855 10.3843333333333 10.4235 11.0346666666667 10.3466666666667 10.4195 10.5253333333333 10.7255 10.2725 9.98545 10.461 10.0724 10.8395 10.8165 10.795 10.709 10.8945 9.70035 9.6648 9.67005 10.685 10.659 10.7346666666667 10.8073333333333 10.6963333333333 10.8346666666667 10.1693333333333 11.332 10.3305 10.6645 10.5685 10.8853333333333 9.36453333333333 10.5685 11.4393333333333 10.164 10.9146666666667 10.7783333333333 10.367 10.4846666666667 10.6556666666667 10.633 10.1534 9.76486666666667 9.9052 10.7515 11.0133333333333 10.7515 11.0133333333333 10.8836666666667 11.1133333333333 10.645 10.447 11.0133333333333 10.932 10.628 10.549 10.549 10.386
G6 9.63135 9.66176666666667 9.2327 9.008 9.7184 10.209 10.643 9.635 9.40863333333333 9.62075 9.60973333333333 9.82855 9.9498 9.63515 9.30246666666667 9.8578 10.228 9.5652 9.36306666666667 9.84936666666667 9.16076666666667 9.72443333333333 9.03156666666667 9.40976666666667 9.78975 9.876 8.77005 9.73575 8.8571 6.4673 9.3905 9.6912 9.27746666666667 9.7794 9.19613333333333 9.7689 10.3945 9.54723333333333 9.05476666666667 8.78465 9.82425 10.476 10.018 10.5 9.360575 8.915625 9.00766666666667 9.0454 10.069 10.2103333333333 9.95445 9.44606666666667 10.0777333333333 9.6776 9.59513333333333 8.82025 9.34195 6.59235 9.3706 6.49945 9.2646 9.13335 8.6957 6.82475 8.50425 8.7641 8.3487 7.1479 9.20405 9.21735 9.77456666666667 9.7847 9.9419 9.87463333333333 9.39756666666667 9.65183333333333 9.2036 9.7382 9.08785 9.07983333333333 9.07016666666667 10.362 9.7301 7.85703333333333 8.53686666666667 8.37763333333333 8.7616 8.7249 8.94266666666667 9.077975 9.35306666666667 9.37273333333333 9.39303333333333 8.95065 8.51056666666667 8.95065 8.51056666666667 7.489 9.30896666666667 9.3576 8.942 8.51056666666667 9.3832 9.4885 9.7208 9.7208 10.128
G7 10.3935 10.714 11.4543333333333 11.1366666666667 11.8695 11.012 11.159 10.981 11.279 10.16 11.1003333333333 11.70925 11.4776666666667 10.9625 10.8196666666667 10.252 11.761 10.966 11.2086666666667 11.0966666666667 11.2236666666667 10.284 11.0216666666667 11.4196666666667 11.3925 10.883 10.088475 11.207 10.9836666666667 11.6745 11.112 11.0826666666667 10.8586666666667 11.8815 10.6293333333333 11.0166666666667 11.4225 10.3875333333333 11.018 10.2525 11.67 11.381 11.2055 10.797 10.8905 10.6915 10.7576666666667 10.657 11.335 11.3263333333333 11.212 10.3476666666667 11.4346666666667 11.361 11.0703333333333 11.13 12.0465 11.8665 11.943 11.5095 11.7655 12.382 12.15 12.3265 11.3365 10.4025 10.0256 10.613 11.1015 10.9005 11.192 11.2223333333333 11.184 11.1423333333333 11.036 10.6156666666667 11.608 11.825 11.6725 10.6203333333333 10.7123333333333 11.5125 10.5806666666667 11.6333333333333 10.791 11.1 11.272 11.8413333333333 11.3773333333333 11.467 9.1052 11.5996666666667 11.6803333333333 9.8565 11.2683333333333 9.8565 11.2683333333333 10.843 11.143 11.923 11.543 11.2683333333333 11.812 11.383 11.533 11.533 11.537
G8 11.1365 11.4663333333333 9.97886666666667 9.16223333333333 9.19335 8.3396 8.54566666666667 8.2505 10.2136666666667 11.508 9.4382 8.76165 8.28276666666667 8.8273 8.7506 11.1146666666667 9.5157 10.1839 8.8468 8.90106666666667 9.46253333333333 10.7656666666667 10.0858666666667 9.9858 8.14805 8.30255 8.46995 8.74605 8.3607 8.92815 8.64145 8.54543333333333 9.05826666666667 8.8135 8.37376666666667 8.4799 8.5957 8.78216666666667 9.782 9.3323 8.46405 8.30725 8.5652 8.96075 8.537375 8.60715 8.52705 8.4769 8.92015 8.90676666666667 8.7898 8.74013333333333 8.9337 8.8157 9.04396666666667 9.8534 9.38285 7.5561 9.43335 8.58965 9.2497 9.70265 9.4697 10.0302 9.8343 10.2331 10.324 9.81785 8.88995 8.8999 8.29523333333333 8.36583333333333 8.2259 8.38906666666667 8.75496666666667 9.28576666666667 9.05195 8.81225 9.1074 8.50673333333333 8.22173333333333 8.5416 8.973 9.36506666666667 9.5551 9.49546666666667 8.78176666666667 8.8481 8.54503333333333 8.50465 7.44866666666667 9.4856 9.39306666666667 7.17825 8.7877 7.17825 8.7877 7.3236 7.6998 9.2203 9.1838 8.7877 9.1866 9.2628 8.5164 8.5164 8.6985
G9 8.4828 9.07856666666667 8.2674 9.07846666666667 8.13085 8.8889 8.65093333333333 8.5859 8.51856666666667 9.56505 9.34216666666667 9.42855 8.5884 8.961025 9.13236666666667 9.6727 8.1145 9.2556 8.5958 8.7368 8.71443333333333 9.4799 9.49126666666667 8.71173333333333 9.3469 8.92515 9.7273 9.4753 8.7924 7.53195 9.6917 8.52523333333333 8.88456666666667 9.19885 8.92523333333333 8.46293333333333 8.8507 10.1913333333333 10.1229 9.9277 8.67005 9.21735 8.91135 9.419 9.656975 9.7331 9.58073333333333 9.744075 9.3765 9.34466666666667 9.6438 9.98506666666667 9.2248 9.29455 9.2947 9.3176 8.87445 6.22375 8.8004 6.4363 9.06025 8.53045 9.08395 9.37105 9.43815 9.0644 9.29605 7.1269 9.50055 9.7845 9.06443333333333 9.09063333333333 9.01743333333333 9.14913333333333 8.30463333333333 10.274 9.13485 9.12595 9.435 9.00896666666667 7.9567 8.97745 10.5176666666667 9.60833333333333 10.0866333333333 9.9394 9.19656666666667 8.32206666666667 9.22773333333333 9.26965 9.84056666666667 8.7163 8.8373 9.0963 9.61456666666667 9.0963 9.61456666666667 9.01003333333333 10.0236666666667 8.6908 9.2092 9.61456666666667 8.9723 8.7523 9.6884 9.6884 9.6535
G10 7.0492 7.405 9.29466666666667 10.658 10.4785 10.777 11.037 10.586 9.57176666666667 7.7126 10.7576666666667 10.8495 10.8593333333333 10.64375 10.6316666666667 7.72296666666667 10.5565 9.4705 10.6056666666667 10.717 10.7043333333333 6.76153333333333 9.6394 9.6004 10.568 10.4585 10.2795 10.6945 10.0218333333333 10.0646 10.513 10.2253333333333 9.90656666666667 11.1655 10.2296666666667 10.2063333333333 10.9855 10.5706666666667 8.82496666666667 10.1285 10.547 11.038 9.98925 10.7655 10.381 10.23025 10.4155 10.59625 10.10225 10.2796666666667 10.847 9.9194 10.0181666666667 9.80365 10.0386666666667 11.103 10.9165 7.95185 10.8675 10.2285 10.858 10.982 11.327 11.015 10.884 10.4245 10.618 8.97075 10.596 10.522 10.845 10.8523333333333 11.0023333333333 10.9893333333333 9.55493333333333 10.176 10.5255 11.2185 10.5995 10.2933333333333 9.34506666666667 10.996 10.8086666666667 9.3273 9.1055 9.10166666666667 10.1916666666667 10.0782666666667 10.3763333333333 10.43425 12.024 9.8979 9.9022 11.1125 11.111 11.1125 11.111 10.9093333333333 11.555 10.506 10.148 11.111 10.658 10.502 10.471 10.471 10.439
