WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7 WT_8_8 WT_9_9 WT_10_10 WT_11_11 WT_12_12 WT_13_13 WT_14_14 WT_15_15 WT_16_16 WT_17_17 WT_18_18 WT_19_19 WT_20_20 WT_21_21 WT_22_22 WT_23_23 WT_24_49 WT_25_51 WT_26_55 WT_27_58 WT_28_60 WT_29_63 WT_30_65 WT_31_67 WT_32_69 WT_33_71 WT_34_288 SS_1_50 SS_2_52 SS_3_53 SS_4_54 SS_5_56 SS_6_57 SS_7_59 SS_8_61 SS_9_62 SS_10_64 SS_11_66 SS_12_68 SS_13_70 SS_14_72 SS_15_289 SS_16_290 SS_17_291 SS_18_292 SS_19_293 SS_20_294 TS_2_26_t5 TS_2_26_t5 TS_2_26_t5 TS_2_26_t5 TS_2_27_t10 TS_2_27_t10 TS_2_27_t10 TS_2_27_t10 TS_2_28_t16 TS_2_28_t16 TS_2_28_t16 TS_2_29_t24 TS_2_29_t24 TS_2_30_t36 TS_3_32_t5 TS_3_33_t6 TS_3_34_t8 TS_4_37_t8 TS_4_37_t8 TS_4_37_t8 TS_4_38_t14 TS_4_38_t14 TS_4_39_t30 TS_7_45_t8 TS_7_45_t8 TS_7_45_t8 TS_7_46_t14 TS_7_46_t14 TS_7_47_t30 TS_18_110_t5 TS_18_110_t5 TS_18_111_t6 TS_18_111_t6 TS_18_112_t7 TS_18_113_t8 TS_18_114_t9 TS_18_115_t10 TS_18_116_t11 TS_19_119_t5 TS_19_119_t5 TS_19_120_t6 TS_19_120_t6 TS_19_121_t7 TS_19_122_t8 TS_19_123_t9 TS_19_124_t10 TS_19_125_t11 TS_33_169_t14 TS_33_169_t14 TS_33_170_t30 TS_34_172_t14 TS_34_172_t14 TS_34_173_t30 TS_35_175_t0 TS_35_176_t2 TS_36_178_t0 TS_36_179_t2 TS_37_181_t2 TS_38_183_t2 TS_44_196_t0 TS_44_196_t0 TS_44_196_t0 TS_45_200_t0 TS_45_200_t0 TS_45_200_t0 TS_45_201_t2 TS_45_201_t2 TS_45_202_t4 TS_45_202_t4 TS_45_203_t6 TS_45_203_t6 TS_53_230_t0 TS_53_231_t2 TS_54_233_t2 TS_55_235_t0 TS_55_236_t2 TS_56_238_t2 TS_58_242_t0 TS_59_245_t0 TS_67_276_t0 TS_68_280_t0 TS_69_284_t0
G1 6.89314165 6.98823333333333 6.76961665 6.42686665 6.8653 7.2273 7.39455 6.89293335 7.03985 7.15203335 7.554825 6.8772 6.89314 7.0541 6.67988 7.2273 7.80344443333333 6.87665 7.5888 6.86606 7.504775 7.0819111 7.52568335 6.9470333 6.7279333 7.94835 7.04326666 7.0549 8.78218 6.8944 8.5113 6.91925 6.8592 6.77566666666667 6.9632 6.7831 6.94338335 7.14386665 6.6783889 7.40776 6.97574 7.0024 6.91534 7.11622334 6.79855 7.0445 6.9938 6.9723667 7.32853333333333 7.19811666666667 7.29693333333333 7.0137 6.98043333333333 6.82593333333333 6.83578335 6.83578335 6.83578335 6.83578335 7.4311 7.4311 7.4311 7.4311 7.086725 7.086725 7.086725 7.28091665 7.28091665 7.185075 7.79251665 7.608825 7.075 6.82685 6.82685 6.82685 6.49625 6.49625 6.8846 8.25495 8.25495 8.25495 6.8941 6.8941 8.3923 7.4343 7.4343 7.5499 7.5499 7.6103 7.5266 7.9494 7.5458 7.2847 7.4886 7.4886 7.6751 7.6751 6.6327 6.6175 6.8109 6.5969 6.8924 7.0715 7.0715 6.6665 6.9758 6.9758 6.9749 6.85076666666667 6.80516666666667 6.75353333333333 6.90694446666667 6.9175 9.26603333333333 8.1821333 8.1821333 8.1821333 7.2367 7.2367 7.2367 6.9481 6.9481 6.9983 6.9983 6.9364 6.9364 7.45186666666667 6.799 7.43163333333333 7.57902 7.69353333333333 6.8643 7.2345 6.72155 6.7583 6.7717 6.7775
G2 8.972375 8.5488 8.39125 8.87606665 8.4831 7.7065 8.46646666666667 8.16404165 8.44021666666667 8.71295835 8.19575 8.4081 8.36212 8.515 8.38258 8.45105 8.0817111 8.25986665 8.3057 8.42163 8.200275 8.74985556666667 8.10851665 8.5588333 8.3744333 8.08205 8.64303 8.1527 8.43323334 8.7755 7.4746 8.50785 8.6610667 8.47976666666667 8.4976667 8.5569333 8.4887 8.36911665 8.4624111 8.00242 8.78162 8.9846 8.7171 8.74296 8.57135 8.5676 8.7084667 8.4721333 8.5118 8.42068333333333 8.66295 8.8866 8.75723333333333 8.18286666666667 8.60898335 8.60898335 8.60898335 8.60898335 8.1989 8.1989 8.1989 8.1989 8.74535415 8.74535415 8.74535415 8.05211665 8.05211665 8.500475 8.50155 8.050925 8.8127167 8.405 8.405 8.405 8.4748 8.4748 8.5124 8.22425 8.22425 8.22425 8.5619 8.5619 7.5655 8.3612 8.3612 8.3481 8.3481 8.1916 8.5393 8.0408 8.6092 8.5384 8.1302 8.1302 8.4974 8.4974 8.6837 8.4742 8.859 8.6141 8.9901 8.3191 8.3191 8.5773 8.4124 8.4124 8.4922 8.2801 8.41713333333333 8.36787776666667 8.4798111 8.39042223333333 7.87663333333333 8.5871667 8.5871667 8.5871667 8.3724 8.3724 8.3724 8.2285 8.2285 8.5869 8.5869 8.7061 8.7061 7.9383 8.544 8.44463333333333 8.15012 7.87806666666667 8.07123333333333 8.2611 8.07505 8.1734 8.49855 8.40085
G3 9.84745 9.77918333333333 9.82356665 10.30145835 10.15245 9.7437 9.2804 9.55429165 9.45063333333333 9.7178 9.201975 9.9193 10.2304 10.058 10.2394 9.629075 9.49596666666667 9.95326665 9.6629 9.55435 8.80945 9.6934111 9.89223335 9.9192667 9.9209 8.92736666666667 9.51960334 9.7455 9.73961334 9.8862 8.693 10.3565 9.7686 10.1263333333333 9.8576 9.8838 9.8747833 9.7408 9.2888889 9.4367 9.88144 9.9789 9.86712 9.70039834 9.80355 9.7783 9.9055333 9.7233333 10.2436666666667 10.0686333333333 10.2358 9.56843333333333 9.5442 11.02 9.76393335 9.76393335 9.76393335 9.76393335 9.313825 9.313825 9.313825 9.313825 9.65555415 9.65555415 9.65555415 9.84183335 9.84183335 9.730025 9.63158335 9.793725 9.85278335 9.1696 9.1696 9.1696 9.1045 9.1045 9.5787667 8.70725 8.70725 8.70725 9.6319 9.6319 8.5075 10.092 10.092 9.7068 9.7068 9.3839 9.6943 9.2853 9.2996 9.6185 10.002 10.002 9.8082 9.8082 10.773 10.659 10.944 10.873 10.797 11.216 11.216 10.633 10.304 10.304 10.387 9.79926666666667 9.95103333333333 10.6031111 10.6443222 10.822 9.52246666666667 9.0171333 9.0171333 9.0171333 9.8395 9.8395 9.8395 9.9612 9.9612 10.425 10.425 10.193 10.193 9.34863333333333 10.472 9.81586666666667 10.666 10.3276666666667 10.1315333333333 10.4515 9.8472 10.0163 10.0298 10.442
G4 7.009975 7.26878333333333 6.86903335 6.74539165 6.885675 6.971 7.8811 7.20119165 7.28351666666667 6.941725 7.153525 7.483 6.95617665 8.3407 8.87006 7.396875 7.26596666666667 7.00133335 7.18315 7.176875 7.4809 9.76975556666667 7.19465 6.5817 6.4262667 7.44723333333333 9.50168 10.434 7.84935334 6.75865 7.8025 7.04535 6.5016 6.96826666666667 6.4778 6.4758667 6.60178335 8.23181665 6.9466111 7.114 9.72356 11.931 9.35346 7.10082166 6.79475 6.9763 6.5593667 6.4214 7.24966666666667 7.19465 7.11238333333333 6.84603333333333 6.82706666666667 6.6282 6.75223335 6.75223335 6.75223335 6.75223335 7.062375 7.062375 7.062375 7.062375 6.79412915 6.79412915 6.79412915 7.21686665 7.21686665 9.2989 7.43243335 7.8984 8.4088167 7.1613 7.1613 7.1613 7.38465 7.38465 7.0396 7.96765 7.96765 7.96765 7.3656 7.3656 7.3286 7.3271 7.3271 7.0768 7.0768 7.6065 7.8353 7.7199 7.8581 7.208 7.3532 7.3532 7.2561 7.2561 8.3325 7.4653 8.9064 7.1113 7.8748 7.1561 7.1561 6.909 7.4471 7.4471 7.1283 8.02013333333333 8.13303333333333 7.06724443333333 7.7560111 7.43717776666667 6.76006666666667 7.6131 7.6131 7.6131 7.4447 7.4447 7.4447 7.1179 7.1179 6.9931 6.9931 7.1124 7.1124 7.4101 7.01703333333333 7.63986666666667 7.67864 6.95933333333333 7.6156 6.779 7.87315 7.16585 9.4712 6.9113
G5 7.47645 7.63488333333333 7.6451 7.25285 7.33565 7.4298 8.0976 7.36188335 7.6908 7.16215 7.995025 8.0796 7.55403665 7.5334 7.33266 7.97275 8.1277111 7.687 7.86295 7.3153 8.0819 7.76294443333333 7.84123335 7.483 7.5309333 8.0725 7.76911334 7.4356 7.78811334 7.39605 8.5568 7.6694 7.5235 7.20776666666667 7.5173 7.6548667 7.61791665 7.5782 7.35684443333333 7.80678 7.5108 7.6176 7.55158 7.70736666 7.42165 7.5181 7.6389667 7.5319 7.91553333333333 7.60506666666667 7.39903333333333 7.71433333333333 7.56396666666667 7.70136666666667 7.69168335 7.69168335 7.69168335 7.69168335 7.8999 7.8999 7.8999 7.8999 8.09403335 8.09403335 8.09403335 7.74906665 7.74906665 7.702425 8.10233335 8.43395 7.3355 7.1538 7.1538 7.1538 7.25705 7.25705 7.3844 8.92735 8.92735 8.92735 8.3622 8.3622 8.7172 7.9851 7.9851 7.7995 7.7995 8.0315 8.2206 8.6051 8.4985 7.898 8.3054 8.3054 7.9001 7.9001 7.4195 7.3234 7.3594 7.314 7.4636 7.328 7.328 7.4127 7.4738 7.4738 7.6197 7.6435 7.51093333333333 7.6025111 7.31047776666667 7.6918 8.79436666666667 8.7240333 8.7240333 8.7240333 8.0161 8.0161 8.0161 7.672 7.672 8.2983 8.2983 8.2565 8.2565 8.49516666666667 7.45543333333333 8.29156666666667 8.12374 8.40496666666667 7.80393333333333 7.86425 7.577 7.80855 7.09755 7.251
G6 8.537125 8.66126666666667 8.55573335 8.3441 8.541125 9.0676 8.59888333333333 8.69518335 8.6221 8.94904165 8.6662 8.624 9.14021 8.7957 10.17776 8.6529 8.62982223333333 8.68705 8.85285 8.519915 8.487775 8.43423333333333 8.9738 8.4672333 8.5604 8.58088333333333 8.54973666 8.4365 8.52981334 8.6026 8.5748 8.4999 8.5817333 8.68706666666667 8.6326 8.6072667 8.5885833 8.71603335 8.46255556666667 8.50332 8.52754 8.2627 8.5367 8.86602834 8.395 8.5817 8.5764 8.5123667 8.72576666666667 8.72345 8.82013333333333 8.74996666666667 9.17226666666667 9.01763333333333 9.08971665 9.08971665 9.08971665 9.08971665 8.311 8.311 8.311 8.311 8.316275 8.316275 8.316275 8.62448335 8.62448335 8.434875 8.73036665 8.408975 8.5651 8.5176 8.5176 8.5176 8.53615 8.53615 8.7806 8.75005 8.75005 8.75005 8.3846 8.3846 8.2599 8.2598 8.2598 8.7354 8.7354 8.8358 8.3506 8.381 8.1154 8.3461 9.0757 9.0757 8.7092 8.7092 8.466 8.4177 8.4167 8.4906 8.599 8.7025 8.7025 8.9013 8.5977 8.5977 8.8804 8.4531 8.5111 8.84104443333333 8.6002111 8.9087889 9.10373333333333 8.7605 8.7605 8.7605 8.7158 8.7158 8.7158 8.8074 8.8074 9.0503 9.0503 8.7181 8.7181 8.63236666666667 8.70706666666667 8.2919 9.27686 10.046 8.75606666666667 8.82045 8.47295 8.62295 8.61635 8.76475
G7 9.394775 9.069 11.76416665 12.85941665 10.86815 7.1703 10.9399666666667 8.90321665 10.1385166666667 10.42616665 9.1021 9.8711 10.96466665 10.626 9.73236 11.65225 10.4289 12.575 8.6211 9.73369 10.229075 11.5101333333333 8.0906 9.4607667 9.6142667 9.22766666666667 10.92422 10.084 10.68936668 11.0595 9.9149 8.9004 9.0588 11.8873333333333 10.0437333 10.2965667 9.5914 11.94666665 9.54616666666667 9.06604 10.42084 10.941 10.38176 10.03379166 9.9357 10.459 9.8348667 9.579 12.2006666666667 12.4318333333333 11.4528333333333 9.48533333333333 10.8257333333333 12.6736666666667 11.45085 11.45085 11.45085 11.45085 10.7415 10.7415 10.7415 10.7415 10.55371665 10.55371665 10.55371665 10.9553 10.9553 12.13075 8.38353335 13.11525 12.15266665 9.06785 9.06785 9.06785 9.5116 9.5116 9.0060333 12.6895 12.6895 12.6895 9.7058 9.7058 12.122 12.717 12.717 8.8815 8.8815 7.6524 10.186 10.399 10.34 9.7576 9.9451 9.9451 10.513 10.513 12.367 12.56 12.661 11.758 12.226 12.066 12.066 13.156 11.984 11.984 12.155 9.05543333333333 9.64313333333333 10.4944666666667 9.40082223333333 12.1764444333333 13.093 9.5523 9.5523 9.5523 9.9727 9.9727 9.9727 9.6958 9.6958 9.8602 9.8602 9.1493 9.1493 12.3533333333333 12.302 11.0156666666667 10.34272 12.8283333333333 12.838 10.3945 8.4503 11.344 11.8045 12.0565
G8 8.60693335 8.67821666666667 8.64043335 8.4911 8.524025 10.128 8.30241666666667 8.16461665 8.33 8.73775 8.6009 7.8243 8.79616335 8.3616 8.36968 8.41185 8.4194889 8.77613335 8.40325 8.4778 7.89555 8.36223333333333 8.46491665 8.7476333 8.4543333 8.39901666666667 8.28710666 8.4691 8.70863334 8.28325 8.2285 8.43805 8.6906667 8.3484 8.6692667 8.6579667 8.61061665 8.90233335 8.4381 8.42002 8.28488 8.6517 8.3111 8.60596834 9.01985 8.2626 8.7505 8.5016333 8.3709 8.44411666666667 8.69271666666667 8.33906666666667 8.7598 8.31406666666667 8.27658335 8.27658335 8.27658335 8.27658335 8.157625 8.157625 8.157625 8.157625 8.62737085 8.62737085 8.62737085 8.03543335 8.03543335 8.348975 8.63765 8.3303 8.36463335 8.7436 8.7436 8.7436 8.7452 8.7452 8.9157 8.0767 8.0767 8.0767 8.4443 8.4443 8.2805 8.2484 8.2484 8.5795 8.5795 8.4256 8.997 8.4693 8.8285 8.3992 8.5602 8.5602 8.5192 8.5192 8.5641 8.526 8.7564 8.7395 8.4383 8.4477 8.4477 8.2954 8.4116 8.4116 8.344 8.3865 8.3159 8.3564111 8.37121113333333 8.31454443333333 7.47413333333333 9.0571333 9.0571333 9.0571333 8.4865 8.4865 8.4865 8.4198 8.4198 8.2566 8.2566 8.1683 8.1683 9.63413333333333 8.59003333333333 8.49583333333333 8.5361 8.52763333333333 8.5101 8.0436 8.18425 8.0528 8.0896 8.26055
G9 7.46228335 7.60125 6.96885 7.25199165 7.3994 7.9051 7.64165 7.23010835 7.24786666666667 7.25909165 7.7612 7.8907 7.71133665 7.4841 7.3621 7.778825 7.77374443333333 7.52748335 7.3442 7.49565 7.8849 7.33714443333333 7.50671665 7.3618667 7.3993 7.95481666666667 7.48848666 7.4857 7.59508666 7.3666 7.5519 7.54205 7.4741 7.21696666666667 7.3758 7.5085333 7.36383335 7.3465 7.24823333333333 7.45498 7.41206 7.3975 7.4088 7.531825 7.25275 7.7543 7.5782333 7.5012667 7.51243333333333 7.39621666666667 7.40096666666667 7.51003333333333 7.3249 7.39386666666667 7.71121665 7.71121665 7.71121665 7.71121665 7.93235 7.93235 7.93235 7.93235 7.53754165 7.53754165 7.53754165 7.4109 7.4109 7.27335 7.64681665 7.620625 7.4308 7.7589 7.7589 7.7589 7.47 7.47 7.9913333 8.25145 8.25145 8.25145 7.5644 7.5644 8.0564 7.2814 7.2814 7.5058 7.5058 7.4078 7.4317 7.7337 7.4676 7.3181 7.7265 7.7265 7.6285 7.6285 6.9144 7.0564 7.0725 7.0069 7.1652 7.1037 7.1037 7.241 7.3065 7.3065 7.5041 7.59333333333333 7.4193 7.36753333333333 7.3150889 7.2277111 8.22713333333333 7.9584 7.9584 7.9584 7.1788 7.1788 7.1788 7.2975 7.2975 7.6086 7.6086 7.5276 7.5276 7.39266666666667 7.21623333333333 7.3789 7.45252 7.99286666666667 7.1881 7.53095 7.3251 7.8765 7.1482 7.2361
G10 6.90695835 6.1964 6.24898335 5.859975 5.974975 7.3779 6.81815 6.38189165 7.03211666666667 5.62676665 7.045625 6.7838 7.03804 6.0384 5.61532 6.4527 6.7226889 5.97288335 6.22585 6.32449 6.75655 5.83386666666667 6.16066665 5.9714 6.4482667 6.84916666666667 6.11111 5.755 7.06198 6.25615 7.8361 6.0351 6.4988333 6.8483 6.3068 6.7226 6.2513667 6.13033335 9.13184443333333 6.94882 6.31222 5.7132 5.77556 6.580965 7.1506 7.5864 6.2409333 6.5814333 7.16966666666667 7.06445 6.72401666666667 5.4395 6.5733 7.61126666666667 6.67056665 6.67056665 6.67056665 6.67056665 7.7465 7.7465 7.7465 7.7465 6.27352085 6.27352085 6.27352085 6.7504 6.7504 5.91395 6.24521665 6.7008 5.67946665 6.8496 6.8496 6.8496 6.35985 6.35985 7.0609 7.08175 7.08175 7.08175 7.2435 7.2435 7.5952 5.9081 5.9081 6.2393 6.2393 6.4821 6.0239 6.5498 6.2688 6.0254 6.211 6.211 6.4811 6.4811 7.2625 7.0748 6.8517 7.2923 7.0028 5.9002 5.9002 6.891 7.4818 7.4818 7.1726 7.08403333333333 7.12616666666667 6.21062223333333 5.74773333333333 6.7386111 8.0327 6.9986 6.9986 6.9986 7.8563 7.8563 7.8563 8.7095 8.7095 8.6202 8.6202 7.4982 7.4982 6.3718 6.92036666666667 6.92396666666667 6.79078 7.8679 7.00033333333333 6.18385 7.2305 5.64755 6.6407 7.04575
