WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_014807 44.4426 59.2012 90.7245 122.646 142.019 142.086 78.4147
XLOC_013064 10.8078 10.2286 8.47218 14.9121 15.5139 6.05638 1.33096
XLOC_012837 1.10812 2.17891 6.65188 12.024 26.6477 167.235 295.234
XLOC_003529 0.950069 2.77964 4.12171 5.84086 11.9821 53.5415 47.2567
XLOC_000687 23.1864 30.7075 35.2614 31.2707 35.7056 77.3937 69.7794
XLOC_018330 16.6894 28.2138 22.602 13.5666 11.9482 16.0839 23.1197
XLOC_029592 6.88498 6.39449 9.38097 10.7465 13.1347 32.04 40.591
XLOC_019570 66.9698 69.2909 104.592 129.95 103.769 94.3381 55.3132
XLOC_000001 0.876846 0.555093 0.133433 0.418929 0.504827 1.13617 1.34929
XLOC_004141 0.0350881 0.188966 0.0518232 0.0533784 0.049164 0 0
XLOC_004143 630.247 826.85 623.339 357.99 220.605 55.8736 7.17345
XLOC_004150 0.123055 0.0455933 0.0998266 0.662958 1.07272 4.95299 1.40883
XLOC_000010 2.11129 2.14301 2.10665 1.58969 1.88851 1.19488 1.12845
XLOC_000012 1.03475 2.11061 10.8882 12.3799 21.407 80.9719 211.773
XLOC_004152 0.844972 4.12663 61.7056 118.478 118.793 150.357 31.0824
XLOC_000013 6.9393 8.16527 12.7493 17.4822 21.2145 14.2379 6.20847
XLOC_000014 0 0 0 0.0105578 0.00989481 0 0
XLOC_000017 0.111183 0.0730221 0.47233 3.46273 9.21936 14.5205 1.54422
XLOC_004164 23.4827 39.883 104.153 146.058 149.632 83.0605 11.4895
XLOC_000032 9.88801 11.6054 16.0247 16.2011 13.4268 7.71273 5.44555
XLOC_000036 0.0307852 0.0217048 0.112941 0.14527 0.277401 14.6216 22.0907
XLOC_004167 216.09 230.138 109.109 31.3866 11.4639 4.35278 0.491508
XLOC_000043 5.11865 11.3909 31.8374 74.6335 123.335 533.947 849.707
XLOC_000059 0.00489563 0.00648617 0.0246437 0.0106599 0.0121495 0 0
XLOC_004190 0.11401 0.0166786 0.221105 0.516955 0.58216 0.722645 0.0832447
XLOC_004191 59.4414 43.1819 24.3343 22.7706 24.9767 35.1505 47.0388
XLOC_000066 13.0236 16.8834 20.3382 16.1873 9.61446 6.06513 4.4335
XLOC_000067 0 0 0 0.0590179 0 0 0
XLOC_000068 0.0543519 0.0237842 0.0431077 0.0760444 0 0 0
XLOC_004207 5.34132 6.54369 0.399902 0.143915 0.0109625 0 0
XLOC_000075 24.5267 24.7292 17.8154 8.01276 2.19515 0.069036 0.0110878
XLOC_000081 110.951 110.448 109.296 105.629 77.3559 39.4448 9.78856
XLOC_004221 0 0.00641309 0 0 0 0 0
XLOC_000092 0.318462 0.207534 0.132244 0.0285982 0.0219428 0.159007 0.322861
XLOC_000093 0.513931 0.807759 0.569571 0.361213 0.197451 0.0212934 0.557397
XLOC_000097 0.10264 0.316782 5.04924 35.4234 142.916 783.411 1071.99
XLOC_004226 0.885547 0.426907 1.1599 1.67492 1.79587 2.97113 3.33371
XLOC_000104 0.52862 3.42241 47.2541 235.227 484.012 443.843 263.347
XLOC_000105 20.9137 23.9111 10.9937 6.81185 4.3308 3.23122 4.93432
XLOC_004233 11.4283 15.2051 27.2633 32.0558 41.3141 45.9565 65.2521
XLOC_004250 2.53276 21.8639 125.635 186.284 235.071 256.835 408.999
XLOC_004262 31.5626 36.3096 42.3683 31.1863 18.0026 2.9594 0.263982
