WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_000001 0.876846 0.555093 0.133433 0.418929 0.504827 1.13617 1.34929
XLOC_000002 1.62084 2.02802 5.26349 6.25829 4.89964 3.41851 3.59797
XLOC_000003 0 0 0 0 0 0 0
XLOC_000004 5.94789 3.87047 2.2977 2.63623 1.36597 0.434363 0.179354
XLOC_000005 0 0 0 0 0 0 0
XLOC_000006 33.0851 30.3209 27.2214 30.3298 37.1312 61.1768 64.1005
XLOC_000007 0.0447507 0.0552952 0.193438 0.814342 1.62088 14.3186 15.4317
XLOC_000008 0.0266753 0.00949203 0.0953671 0.249898 0.562627 1.02909 1.20143
XLOC_000009 17.5279 10.5394 4.28049 4.30843 10.4455 27.8088 15.6147
XLOC_000010 2.11129 2.14301 2.10665 1.58969 1.88851 1.19488 1.12845
XLOC_000011 22.8851 35.8957 88.1796 93.8142 90.5739 99.297 92.6698
XLOC_000012 1.03475 2.11061 10.8882 12.3799 21.407 80.9719 211.773
XLOC_000013 6.9393 8.16527 12.7493 17.4822 21.2145 14.2379 6.20847
XLOC_000014 0 0 0 0.0105578 0.00989481 0 0
XLOC_000015 10.889 9.49646 9.79181 10.5481 10.3534 9.2577 7.55219
XLOC_000016 47.6721 62.7126 81.5441 102.571 81.7031 88.1307 39.7768
XLOC_000017 0.111183 0.0730221 0.47233 3.46273 9.21936 14.5205 1.54422
XLOC_000018 1.23757 0.625007 0.238245 0.371281 0.673185 0.748135 0.622384
XLOC_000019 12.4249 10.4164 9.36823 10.6558 16.0451 29.8331 40.5743
XLOC_000020 0 0 0.0227297 0.0838165 0.187489 3.12732 6.47701
XLOC_000021 4.37428 3.64978 8.39161 14.8497 16.4246 15.6788 17.1641
XLOC_000022 21.9432 16.5372 2.06907 0.494979 0.664332 0.512319 0.111155
XLOC_000023 1.86649 2.12436 3.83229 2.53627 2.35327 0.485287 0.0426904
XLOC_000024 0 0 0 0 0 0 0
XLOC_000025 1.41779 1.93121 3.3819 3.58013 3.68186 3.63587 4.48975
XLOC_000026 0.327261 0.116426 0.0181207 0 0.00951252 0 0.0455082
XLOC_000027 0 0 0 0 0 0.259498 0.268719
XLOC_000028 0.0116899 0.00832999 1.91876 51.9959 79.3492 71.3086 32.9802
XLOC_000029 2.20202 6.36344 22.7102 23.284 20.9486 29.8104 20.5015
XLOC_000030 17.0822 15.9971 13.7612 9.34079 7.67458 3.55483 4.05247
XLOC_000031 0.604933 0.49405 0.411743 0.1491 0.12163 1.7339 16.0871
XLOC_000032 9.88801 11.6054 16.0247 16.2011 13.4268 7.71273 5.44555
XLOC_000033 25.5491 33.3322 49.4495 58.1035 51.8581 53.5103 58.3328
XLOC_000034 0 0 0 0 0 0 0.0441853
XLOC_000035 0.304619 0.33987 0.459742 0.479556 0.383133 0.321956 0.250669
XLOC_000036 0.0307852 0.0217048 0.112941 0.14527 0.277401 14.6216 22.0907
XLOC_000037 0 0.0023872 0 0 0 0.00677914 0.0202135
XLOC_000038 1.38687 2.04028 1.79861 2.30378 2.42788 0.722428 0.574366
XLOC_000039 1.75208 0.895016 0.477043 0.465106 0.571778 0.739617 0.502612
XLOC_000040 8.1434 7.49355 1.7499 1.46998 1.43838 0.731584 0.546178
XLOC_000041 0.180195 0.161318 0.0473262 0.107623 0 0 0
XLOC_000042 4.92741 5.051 3.42351 3.27761 5.92709 16.816 23.5693
XLOC_000043 5.11865 11.3909 31.8374 74.6335 123.335 533.947 849.707
XLOC_000044 18.5756 15.4463 5.07498 5.67721 8.64577 29.3183 60.8688
XLOC_000045 0.606638 0.531785 0.526947 0.092411 0.243028 0.244686 0.089583
XLOC_000046 4.21467 5.6627 7.12918 6.64577 5.23846 4.32563 7.28666
XLOC_000047 5.10956 5.71727 2.52775 1.88967 1.03118 0.264534 0.133693
XLOC_000048 22.9905 24.5383 36.4746 43.5088 38.655 40.2802 30.6002
XLOC_000049 1.5257 1.34915 1.06478 1.51947 1.77016 4.50461 8.87057
XLOC_000050 3.57158 1.70142 0.815985 0.668648 1.0771 2.6081 3.60556
XLOC_000051 0 0 0 0 0 0 0
XLOC_000052 8.90566 3.61336 0.195709 0.184334 0.0510815 0.007759 0.0340313
XLOC_000053 4.97924 4.14708 3.27031 3.11052 4.58623 5.06975 8.73963
XLOC_000054 28.3127 20.7353 7.00142 7.31973 7.62884 18.699 29.1782
XLOC_000055 5.44504 6.22653 6.98761 6.1249 5.81452 2.71519 1.57712
