G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 G13 G14 G15 G16 G17 G18 G19 G20 G21 G22 G23 G24 G25 G26 G27 G28 G29 G30 G31 G32 G33 G34 G35 G36 G37 G38 G39 G40 G41 G42 G43 G44 G45 G46 G47 G48 G49 G50 G51 G52 G53 G54 G55 G56 G57 G58 G59 G60 G61 G62 G63 G64 G65 G66 G67 G68 G69 G70 G71 G72 G73 G74 G75 G76 G77 G78 G79 G80 G81 G82 G83 G84 G85 G86 G87 G88 G89 G90 G91 G92 G93 G94 G95 G96 G97 G98 G99 G100 G101 G102 G103 G104 G105 G106 G107 G108 G109 G110 G111 G112 G113 G114 G115 G116 G117 G118 G119 G120 G121 G122 G123 G124 G125 G126 G127 G128 G129 G130 G131 G132 G133 G134 G135 G136 G137 G138 G139 G140 G141 G142 G143 G144 G145 G146 G147 G148 G149 G150 G151 G152 G153 G154 G155 G156 G157 G158 G159 G160 G161 G162 G163 G164 G165 G166 G167 G168 G169 G170 G171 G172 G173 G174 G175 G176 G177 G178 G179 G180 G181 G182 G183 G184 G185 G186 G187 G188 G189 G190 G191 G192 G193 G194 G195
G1 0 1.8988802855291 1.93795034446395 0.0905812748849981 0.339453678564066 0 0.950877280457452 2.17693722331533 0 2.05705966087736 1.10666776898299 0.523152464761884 0.211243197492496 1.4232650554315 1.56120578956482 0 0 1.52134931140153 0.283113068576209 1.54629429206002 1.16620178962564 0.683910880695132 0.7475856697837 0.836431663846416 0.8259524411629 1.07506503134533 3.63460930762068 0.660713630528142 1.39290432450428 1.99369216213978 1.20789349538894 0.344032263956363 0.304001491219285 1.03256659336956 0.601904883290093 0.571617030540324 0.408113879557704 2.39555722076703 1.96268106706851 1.39700781146018 0.406842454340659 0.119879275935933 0.00654108819467333 0.259622294579714 0 3.19190177486388 2.41661557185859 0.244421499555551 1.88399270464122 0.522735654531301 0.69470873976972 0.0445982970666379 1.60673228584719 1.52537749203475 1.1701267394106 0.390586535863231 0.851612737945825 0.421139971992873 0.0740861446388066 0.493499801345019 1.17930555944961 0.588872177276306 1.7269361488206 1.0488699742766 0 0 3.68812209718072 1.464417143314 0.830873284364408 3.37972949957202 0.104949435438368 2.12299742397692 3.51800405026044 0 2.42674064157128 1.17677831714856 1.43316893341921 0 0.401351455715544 0.553710436841406 3.36402614838132 0.765091811442148 1.46717409264209 0.0915037068235958 2.3313590465353 1.55541409479998 0 0.0845052247001341 3.14754150317307 0.672764084176157 0.14770092384435 0.209585916538254 3.01893315936525 0 0 2.77190771657394 0.960177494492045 2.83192407171899 1.42933474224723 0 1.19147731556838 3.27724700198034 2.00017146301639 0 1.34936934982397 0.0994491240298966 0.636063667020735 0.664549832569103 0.921438742704607 1.85233069243001 0 1.55432596103886 0.910767508042881 1.05361096363183 1.2558437785859 0.0816760475933323 0.307834191419709 0.701785212708015 0.911673332717529 0 1.92584571751663 1.03963931073812 0 1.35602922777436 0.0902971981394385 0.14259179089225 1.09975971758733 0.104903317981094 0.715040385745947 0.575815950209666 2.01009071551369 0 3.43186672821246 0.574079455115291 2.23211247440233 0 0.188750030304704 1.55594594354578 1.20478129527288 0 0.406120757520996 0 0.0223160944478781 0.615508482072187 0.993130208578212 1.14994680848161 1.46545452711109 0.15234049454686 2.78389579829574 2.40841900333418 0.330371730519159 0.717585246379344 0.107832638554615 0.578268076390721 0.474044501081333 0.148642637501332 0.812143826209154 0.483523473373134 0 2.99707506500371 1.25910558421496 0.900465468758181 0.621639313625761 0 0 0 5.06349270410883 0.899276271340776 1.02235214042559 0 0.468126183444704 0.442735871221065 3.42782829418711 2.41791403906711 0.456547373917876 1.14762975410411 2.29889201252277 1.13556898825396 0.489026198588414 1.18366478064878 0.806333569396647 0.729151768096031 6.33770085635669 2.86785407304048 0.305676984445162 1.99292036976436 1.88022753853821 0 1.02918199844571 1.56876849269518 0 0.0844295747064198 0.194459036927132 0 0.19506011633719
G2 2.03869655037361 0 1.5541819210077 2.1415344666904 0.305567090246778 0.722294341507647 0.24406702456092 0.831274955019726 0.863395286344199 0 0.172952466324362 0 0.181981438518294 0.221247195762964 0.420691678430705 0.0305607683634186 1.30511725929459 0 0.128868876193002 1.73778605747774 0.198538511668999 1.43044436093368 0.380576056119955 0.979533133582419 0 0 12.5014653713221 2.83629743790448 0.570136140844752 0 2.56299999821078 1.19455967528421 0 0 0 1.70818896920488 0 1.1396418423779 0.62941000540195 0.115479118582602 1.80957600688439 2.2161900807726 1.79630704340494 0 1.5182661662151 1.5999682993444 1.05167558084458 0 0.266905574786046 0 0 0.384857429611736 2.20276464445842 0.851154733906491 0.134360281855206 1.17145090517941 4.01878029817654 0 0.996872885882192 2.2856343498541 0.877459398546805 1.02889255067017 1.15769257491136 1.48805457414575 0.831013679115671 0 0.496462259052142 0.106923299414828 0 1.5736622094463 0.654629684862888 1.8756960969393 0 0.273614368929259 0.300745615924246 0 1.17877378049397 0 1.73017546685615 0.448607997517472 0 0.0724169445324552 0 0 1.6159131850462 0.373875687189832 0.252153215664693 0 1.29535226451025 0.352945260561357 2.80462721615117 0.536260976277469 0.43351076308484 0 0.538599750619788 1.2273694193687 0.582052863476345 0.00534420530790382 0.728770604241541 1.95498073899457 1.18473734928699 0.306292248724206 0 0 3.63622497627477 0 0.663429349650162 0 1.04436528383058 0 0.255540068138658 1.66432998239163 0.794666334369267 0.17155492068203 1.9963824437695 0.630432533467668 0.0238341517366992 2.80936165412404 0 2.04137018409053 0 2.67752580959854 0.883248399824443 1.31370268805084 1.19614747385271 0 1.00957421495385 0.92398059840756 0 2.10342925284185 0.989256622705407 3.04972173283374 0 0 1.62826637226597 0.522764724723468 0.140347208357243 2.32207176891187 0.164029563397189 2.0729078728167 0.577832503228405 1.98631049999709 0.115356674960402 3.04661919566416 1.03437036467701 0 0 0.375689822701146 0 0 0 0 0.0736366975100396 0 0.386607464556926 0 1.53055333986132 0.631841689728665 0.0754100389396091 1.62901790109924 0.794397431403403 0.475648848562934 2.1869030059776 0 0 0 2.3999334106223 1.17069540975211 0 0 0 1.27094382221325 1.77119209481501 0 0 0.257809828014416 0.430701844025786 0.1496832061795 0.153821909037543 0 0 0.670049374035668 0.692517137584758 0.319340799097751 0.341196943799012 0 0.063308608214569 0.351487188623213 1.64650875457328 0.78876768075374 0 0.216817706739827 0.974987025540434 0.831713270572162 0.0970586224393138
G3 2.45631159094136 1.78077741740659 0 0 1.01815721952055 1.0030921036584 0.824264915224025 0.0177269896968348 0 0.867802431833882 0.437843865210007 0.036761381881105 0 0.303306037057074 0 0.513617819874763 0.869833033230416 0.469926389546385 0.886233096710668 0.352628409632144 0.097518532355705 0.640214980988406 0.710930238315626 0 0.537652629262623 0 0 0.224480912388253 0.0414415199469072 0.0345414856653573 0 0 0 2.9690034866275 1.83274565471094 0 2.59756236891041 0 0.236467894366981 1.28983354874415 0.24262616007592 0.9767198736874 0.0760121809708217 0 0 0.202242123840513 1.40810974117048 0 0.382617292783937 0.480157746070575 0 2.62192556343275 0.628324303635798 0.776361491079022 0.530648516451608 0.948657181643694 0 0.00550905048895299 2.8363075523898 2.27321287983315 1.70213388127509 0 0.0292025969893746 2.97055051408962 1.15964677570555 0 0 0 1.33011516795592 0 0 0.488905466149315 0.0516756037507429 1.80337473660583 0.162618857995282 0 0.356884278252072 0.305244597651365 0.155578915550929 0 0.105442120635236 0.783768076756537 0.197783362459641 3.280779638975 1.4927980267773 0 1.01611382576201 0 0.801924457918399 0.733714263675155 3.84464853843146 0.275337653627221 0.237553848644674 1.24198975988672 1.30279513661887 0.00979064570414195 1.18866619709126 0 0 2.05918278011424 1.49910718978901 0.172442219113854 0 0.257401868292303 0 0.552230025425678 0.632916598181239 0 1.39507467349967 0.340198572291516 0.504587230175195 0 0 0 0 1.63467904727158 1.87131477420269 1.04788953939284 0.48060073284063 0 1.82101336194221 5.12717399945954 1.61766210050314 0 0.0854601655784279 0.45541836119367 1.91289551774876 0 0.415282321541377 0 0.25649186493874 0 0.909526424846365 0.383330097074773 0 0 0.44235926892992 0.188341559810564 0 0.838376310536033 4.3734509709368 1.78294745699837 1.48679645500036 0.76111227030293 0.995740696610151 0.095357591684826 1.70799893347385 0.597531792838724 1.59389946404015 1.02175851096338 0 0.181078732253136 3.70586008284712 0.204521716472325 0.814846859239768 3.06141853061311 2.26059312572408 0 1.36907056380645 0.600514843592935 0.450004438320359 0.857483749366544 1.29595689418171 0 0 0.437011854983163 1.77207762040453 0.608671938228125 0.250613444815975 0.0691948936671012 0.947122098701077 0.0250805690742634 1.22236213923005 0 0.278094263935682 3.35435137044984 0.140536192165155 0.262578201453123 0.200929938663974 0.222148131598026 0.0399341633603657 0.511145764654435 0 0.270636918174248 0.175771372482614 0 0.162964621504153 0 1.07228874184159 1.7586561879083 0 0 0.512844620364363 2.37169908856944 0.277184116967963
G4 0.311723674220938 2.163180403055 0 0 0 0.905626586016596 0 0.345324594717034 0.87138354765333 0 0 0.246705942288589 0.588824170004366 0 0 0.728004547797953 1.62579571849951 0.412065578166182 1.28828238126682 1.37844174268161 0.213375985759505 2.03955412236078 1.18978477209773 0.480098523604743 0.319862371712816 0.882348170253915 0.83909288299426 2.09379923792045 0.664206915954261 0.913261613414254 0 0.399896704381782 1.21893868559637 1.00091133273779 0.457535243334058 2.49216845861081 2.49444644030126 0.295382274978795 0.368330455506853 0.0126695284564325 3.16553351561861 0 0 1.12484604047884 0 0.119691052311649 0 0.122383463858538 2.41996808342253 1.44031348244011 0 0.0933766607630346 0.457834867862356 0 0.203220497946107 0 0.8741605323889 0.560178217337267 1.24642313179809 0.715806976280067 0.714438253218757 0 0.661494610727395 1.51377491647592 0 0.97561571088807 0.883153198457649 1.46316287835592 1.44023365888723 0.0282648906207516 0 0.615061393642502 0.422721266883558 0.498889472923668 0.488669364550106 0.284961473532526 0.00585638207132872 0.0319854753444141 0.965498731508962 0.180143965420441 0.119384197266707 0 1.07951572988562 0.327151393037302 1.08446576885019 0 0.507808220245865 0.180199200997202 1.18120265623082 0 0.435694580523044 0.471685382664291 0.521442361458847 0.0995033878225238 0.151743895114854 0.369959969470129 0.0510720083750381 0.397936105930268 2.17969790439585 2.28944108928267 0.718293563233511 0 0.956478723326959 0 0.858187637148584 0 0 0 0 0.23452710166606 0.705453908237585 0 1.09576949335103 0 0 0.737956551017216 0.674495268909355 0.082734882626756 0 1.40315906388462 0.358440674594193 0.241663961737275 1.20328080810357 0 0.086128472025611 0 1.12189687138778 0 0.427947187556081 0 0.345928998569162 0.135829321180314 0.174634992605854 1.47309814827085 0 1.2022169122365 0.280901918969799 1.68761254246363 0.715410908138427 0 0 0.88794625614731 0.164327989255717 1.025290346974 0.311749699852898 0.524878328429649 0.11077685054267 0 0 0.718938849010446 0 0 1.62986155215804 0 0 0 0 10.0318899828705 0 1.0830983063428 0 0.612459381624235 0.336319324045469 0 0 0 1.49568640695007 0 0.937671043823048 0 0.180755008197529 0 0.172190683370655 0 0 0.272749107345765 0 0 0 0 0.64184063940798 0.192364742698525 0.0373900172391782 0.299387457874224 0 1.4611435484268 0 1.63480468232004 0.902130532881253 1.26243422237042 0.577843172298969 0 0.483108300611239 0.689181553899137 1.79995308976709
G5 0.540617738264536 0.229845030904501 0.478502592140577 0 0 0 1.55835432774448 0 0 1.27048889679978 0.887648294590684 1.48705415918904 0.761009129587867 1.82471243672247 0.282058156209901 0 0.479557134440395 0 0 0 1.224678140606 0 0 0 0 0 0.99822553443494 0 0.641043831604276 0.362998012089869 0 1.22931667768866 1.30407384429289 0 0.773979165202274 0 0 1.63259287116 1.42501054057611 0 1.39737492173655 0.125796528069768 1.37624537634802 0.997847336039873 0 1.00178267090305 0 0.2725672189385 0 0 0 0.702893473324366 0 0.881269018863588 0.1009712225862 0 1.68433106014282 0.879401502596749 0 0.136108208893782 0.49770403801646 0.545941045025321 0.687899822246961 0.990282290477072 0.700277530595455 1.10060968855896 1.84751382510957 0 0.860102646616629 0 0 0.189679705844365 1.07825566194635 0 0.614752979684408 0 0 0 0.402230984463151 1.02182084615279 0.152810608007823 0 0 0.900881167776695 0.680728493075298 0 1.39126628764057 0.303045623445871 0 0 1.84842812811955 0 0 0 0.980378031020291 0.813210227758173 0.722541641453912 0 0.928227209361678 0 0 0.0789514272510988 0.0175092475866356 0 0.479198158471014 0 0 0.95546683424012 0.314839922844905 1.91085959263468 0 0 0 0 0.598198023259065 0 0.9241879279311 0.360854946155557 0.769927522668454 1.77786972954228 0 0.395141849789301 0.487692787215584 0 0 0 0.0441609556857367 0.618017163625644 0 0.285433853582025 1.03055228892143 0 1.4168373367482 1.65491772639364 0.170233053992111 1.05291561354231 0 0 0 0.000151501957504191 0.0842069493408266 0 2.60861622915798 0 2.41312924060974 0 1.70403036483772 0 0 1.20000736610395 0.97205854089635 0.0837288699139209 0.903670905499083 0 0.823419137835508 0 2.40791048254558 0 1.79740249019629 0 0 0 0.787618096076538 0 0 0 0 0 0.422542670708908 0.172706372100476 0.941073050329861 1.17595421832769 0 0.0300941468995206 1.82462599933238 0.23482629252661 0 0.171395054448545 0 1.42670384591223 1.88379352172584 0 0.356816804475618 2.60797725359085 0 0.779145872249748 0.0789223519047779 1.67489082220251 1.20181492419607 0 0.141091491516736 0 2.88478371058168 0.117584548203133 0.765362861660026
G6 0 0.806058322143475 0.946759378980313 0.847329525479662 0 0 0 0 0 0 0 0 0.33641673915798 0 0.104936741033422 0.877436372356961 2.70914374256089 1.31615753551518 0 0 0.396322618375056 0 0 0 0 0 1.43251473792525 0 0 0.74258220783494 0 0 0.933488131833406 0.252781613362674 1.06834772550122 2.37584830480833 0 0.4246558150865 1.0871430389323 0.156096026632035 0 0 0 0 0 0 0.206125235924756 0 0 0.0993769599048894 0.233238519265511 0.0421937316697632 0.655376632780734 0.0337025350925999 0 0 0.347472107645406 0 0 1.84633988696666 0.0759810745620988 0.0487280198552282 0.49859152199571 0 0 0.363940823448615 0 0.188917088238173 0.0230087284201092 0 0 0.37055722856304 0 0 0 0 0 0.667131650822772 0.573422130275756 0.802971703087913 0.813527581182939 0 1.3148101128383 0 0 0 0.357399968164658 0 0 0.871442218342652 0.359711464179142 0 0 0 0.164306012528744 0.826115828717339 0.739248959120113 0 1.2822768365843 8.31041050204981 0.430245074737389 0.653620589641467 0 3.94180635191588 0.730834699309558 0 0 0 1.07357975011371 0.323906071056438 0 2.50794865883055 1.19182462783776 0 0.43235846534788 5.3603606574395 0.288558547344979 1.2205832622726 0.904279125809923 0.132595444462105 0 0.790121404282498 0.712170343245674 0.441249910742561 1.19341295626556 0.424128869730587 0.266443666627373 0 0 0.561186190214138 0 0.588957624290361 0 0 0.883305973958648 0.341157334123783 1.81923035320398 0 0.118926534686317 0.438678498768513 0 1.44248092849122 0.998580461909045 0 0 0 1.59333937454238 0 0 0.155861079889331 0 0.820910682777626 0 1.56494712355433 2.73051133106903 0 0.00577068856075775 0.173247641829825 0 0 0 0.302501642431132 0 0.142785897869888 0.309280544908866 2.82079957827391 0.608642806636646 0 0 3.92479182585453 0 0 1.25198107288127 0 0 0 0.371115548119304 0 0 1.21828341448447 1.54676944960662 0 1.06601695414491 0.807786740119225 0 0 0.358557097111947 0 1.85159241564218 0 0.702648741694976 0.2019476638588 0.781579712986681 1.11818929545464 0
G7 0.995633672459681 0.144587046208995 0.811951571518979 0 0.197480195768632 0 0 1.38778282013828 0 0.604270224461264 1.30422507398535 0 0 2.22750457022875 0 0.0519083139516457 0.198368902830689 0 0 0.575969673292023 0.210806059943757 0.166070244040149 0 0 0 0 0.160973793329332 0 0.547307764886996 0.935888920079513 0 0.856961350333257 0.581935590529978 1.90096168447912 2.03278807877192 1.09884480326887 0 0.547796332644363 1.27290856707426 0 0.102767921877156 0.276056227044128 1.24207043404983 0 0 1.74210762143214 0.0338142014258448 0.720376798921866 0 0 0.211817316998723 0 0.374209159498708 0.289310100013227 0 0 0.557426139423839 0.127539934263197 0 0.218468187065625 0 0.93657632659291 0 3.11038410001878 1.76868536607657 0 0.781393581046827 0 1.75075957683084 0 0 0 2.07309487221824 0 0 0 0.217636037815873 0.115108536250659 0.766107283241584 0 0 0 0 0.352997053353077 0 0 0 0 1.56545058281107 0 1.78380086270851 0 0 0 1.36556251717417 1.30103815926399 0.00635595064444262 0 0.749774167705916 0 0.892692852260614 2.2582083284696 0 0 0 0 0 2.25705220258617 0.517879537720629 1.09333350675135 0 0 0.198691769500429 1.36890647246133 0.88690128958661 0 0 0 0 0.171500317868625 0.851955420437996 0 0 0 0 1.47605081302138 0.48065410509732 0 0.325941864921118 0 2.02287245383502 0 1.50044802984447 1.53869091819873 0.145726847356419 0 0 0.0349795686870132 0.236193359744673 0 0 0 2.98434512881142 0.185737662112217 0.573945588279741 0 2.06974047957615 0 0 0.869872168215015 2.83895838664012 0 2.99827684704676 0 0 0 2.14255623685907 0 2.8163626988904 1.48260828009715 0 0.540939451450816 1.24080655310123 0 0 0 0 0 1.21565256405631 0.155481719262516 0 1.21594755914778 0.478965690931125 0 1.78836076590322 1.0898298027576 0.675961533265743 0 0.201700811111807 1.00708163126267 0.900837480049093 0 3.5923754619183 1.01047801778664 0 0.246702267461982 0.114846537831262 0.322177444361617 0 0 0.48982361857348 0 1.85941362146894 0 0.702852888305113
G8 2.27095906173309 0.725771342721698 0 0.370350375739692 0 0 1.00048775497229 0 0.461430781238913 0.439561532880889 0 0.795865456802864 0.238623348356931 0 2.39307250808345 0 0.877436188119613 0 0.777091765371693 3.05143970158284 0 0.539068734712144 4.92212575602471 2.22339695590957 0 0.76126909148292 1.70457916587868 0.163384542951799 0.233652846341566 0 0.264341154787504 1.89947877354915 1.7605286090016 1.863072939978 0 0 0 2.75994525940628 1.48570516641351 0.10966397731471 1.03281896043536 1.2477173167366 1.77004287354565 0.467059887104459 1.48168172360524 2.78961606442953 1.95668453192666 0 3.31096732826824 0.435783415113017 2.27286021396709 1.13395943660991 0.631614403935436 2.39935294836629 1.25587478374958 3.44609170060417 0 0.426057394906165 1.70971629085626 0 0.446489237124105 0 0 0.164204079587487 0 0 2.60095284639778 3.0554201013698 1.31765737791603 4.31857906121144 0.921778993767485 0.335638889664022 1.45729441239352 0.722261461218263 3.80390552305762 0.685312122701615 2.38225948225156 0 1.58232648261992 0 3.37380343998002 2.21956627976607 1.43577603175288 0.545303919402991 1.7561309635925 0.790374457599026 1.85267206376703 0.143622128316584 1.97436831127787 0.844504661028184 0 0 3.59318407121254 1.58897058813445 0 0.393347680927246 0 3.59092134490254 0.74694403053815 0.243323425046917 0.186224584488158 0.87455792843826 3.44970505003248 0 2.98133452657166 1.5035477625395 0.466953705000209 1.23504132884574 0.957776738858709 0.412688754198582 1.00548334447883 1.49355171069917 3.08769829315002 0.12900617092294 0.254345472211783 0.278571382729901 0 0.848363671789282 0.197032171856583 0.932661425404487 2.65775378112312 0 3.17965373523965 0.587082174161647 0.600101995461104 0.816259679130078 0.328236604159232 2.17257615862681 2.84409117657216 0 1.21754557824966 1.2969287291469 0 1.23803207781449 1.56394139860393 0.530929412965323 0 2.83974399832817 0.914410621048676 0.820151773528062 0 0.551588670970885 0 0.956494615512721 0.746946379704825 0 0 0 2.01088597751286 1.5270661147457 1.02959341683811 0 0.109736605620905 0.620435455752417 2.36587283943316 0 0.799945811422673 0.0955526388468233 0 5.51811435219955 0.266277148630443 0 0.255158606467377 0.401265954566458 0 0 1.90116574652606 0 0 0.772345420004199 0 0 2.04528246043351 1.27395208904268 0 0.863154040445537 0.412837393127969 0.473971967458687 2.00988394528558 9.3030885551967 1.02710545519929 0.150920328728379 0.604084871304482 1.79943669900847 2.21429151647358 0 0.821743367536118 1.69193768425511 2.02260725311093 0 1.21443841529382 0 1.17703607540269 0 0.57001015427547
G9 0 0.887789132589815 0 0.967732475114683 0 0 0.284223060925661 1.00129461089342 0 1.85531453166316 0.314279184274182 0 0 0 0.190426484712175 0.238868649362588 0.333884968208552 0.544619804379028 0 0 0 0.0899016719823243 0.240555502879197 0 0 0.326922395083452 0.475875795323303 1.49561472943273 0.65674273527035 0.800161549254329 0 0 0.645661048665161 0 0 0 0 0.777845940540338 2.17181956546018 0 0.613294874646414 0.53169343915676 0 0 0 0.832022729172564 1.51006104595393 0.847332705849924 2.22388093440221 0.152536948912164 0 0 0.344877889788603 0 0.786835767834576 0 0 0.733722762227027 0 0.650837670309405 0 0 0 0.226638884375588 1.40707225187724 0.0679267754512202 1.38736037333241 0 1.10169183764649 0 0 0 1.57518201729905 0.492361546733222 0.773091977907892 0.439475989828725 0 0 0.694880854079948 0 0.13303674617869 0 1.18573830995253 0.699446015696819 0.127161023862501 0.914015108860806 0 0.773010812568027 1.35476163307251 1.06686091661519 0 0 2.04045707704991 0 0.193677813647956 1.14522928441144 1.08379750797126 0 0 0 1.29293006999465 0 0 0 0.27689401307943 0.0987833163798875 0 0.919850374652274 2.62688524344912 0.824597447330916 0 1.0001053032037 0 4.4485594037889 1.21343873336651 0 0.922022732739574 1.47364595001214 0.0552108508161085 0 0.762318303991091 0 0 0.337243249754819 1.02123897163242 0.353337962931109 0.981065160919537 0 0 2.25922421922204 1.49256968107194 0.899914733960307 0 0 0.973724854384764 1.74025031510735 0 0 0.526339198571451 0 0 0 1.3979781265782 0.463078942103351 1.39559073342068 0 2.84816611004267 0 0.304258440220833 0 2.33533722243691 0 0.329919604829251 0 0.0942211993959377 0.0268965729538949 1.19952248924054 0.0511567337895674 0 0 0.284704863726042 0 0 0 0 1.14345173803341 0 0 0.145082401364004 0 0 1.63419196853267 0 0.609149773862112 0.681224443668855 0.645294069293961 0 0 0 0.939120140581609 0 0 1.15371108064001 1.20743609807937 0 0 0.708153758830588 0.568450611759403 1.03996161271914 0.728093539403444 0 0.0767384438727291 2.0242536487802 0 2.39708242343021
G10 2.40588330941557 0 0.784343804627087 0 0.865799951819223 0 0.78764627842926 1.23096829237141 0.850086079536675 0 0.197592924611886 0 0 1.51618104297753 0 0.993064306401414 0 0.872459692705867 0 0.612230468716633 1.54070993742498 0.0969249019048982 1.05214239826878 0.0404152374520842 0.484013399325489 0 0.420574883768672 1.03634366277762 0 0.355280461745486 0 0.797400583057752 1.2610803778078 3.68504196296481 0.571476481055253 0 0 0.711391807883547 2.5133244827281 0.600620106776439 1.23550020824356 2.07636296994055 1.1913441484532 0.454074403329776 0 1.29800064343158 0.374464183583089 0.694463866260006 1.19110698125468 0 1.26455928545084 1.51897436709537 0 1.47467796802671 0 0 0.0981830755219768 0.195485632324415 0 0 0 1.17970470943114 1.99470585160292 2.11705141124534 0 0.871742380904954 2.41054069865753 1.25547857337329 2.249820551362 0.0899995929543212 0 0.723446854438056 2.19733690149886 0 0.938993757588765 0 0 0.0596027594757556 0.257107035316429 0 1.13236157154653 0.777194214294859 0.442536418359353 7.2825446513983 0.0124685366482968 0.0958764908248298 0.17444527852642 0.398182269989934 5.0211643136357 0.989483175066077 0 0 1.30516106813988 0.98719867857629 0.565583644182032 1.61394214162058 0.414218734867888 0.966453837267835 0 0 0.988877734539677 2.72378238075238 0.212459081550033 0 0 5.53674574274811 0 0.644117335383632 0.433770047803457 1.46099776850892 0 0.631203003080736 0.617558544755397 1.19825821450486 0 0.194936422028943 0.0757149275766932 1.20739690735693 0.119526426358905 0 9.45924660475803 0.879380946004625 0.577946924808133 0 0 0.230070554112275 0.880929033441515 0 5.07303179455275 0.385539444886918 8.51980664890879 0 1.22759878639013 0.844220460505362 1.86015373729753 2.01383295150628 0 0 0.800109848108526 0.638813603099558 0 1.1815829745567 1.24625161102436 0 2.13550517093136 0 1.39894433018839 0.377373246155861 0 3.94615548318836 0.948098135473355 2.61101903775819 2.25114507893658 0 0 0.848634373785061 1.56857068692964 0.465567467447734 0.854714579555892 2.54497667628789 0 1.0291669539557 0.851966767432203 0 0 0.279479596998218 0 0.141078717497841 0.408949574097345 0.533251139789644 0 0.492344255219767 0.776271421305532 0.927067499111 1.58279764794256 1.14829890495894 1.39188820905429 0 0.0123179968625422 3.49002181897959 1.12854414125183 0 1.38708056101619 2.60385683975803 0 1.6047695490458 0.351953187396117 1.5544127945335 0.916916471479014 0 0 0 0.482909109569299 0 0.287207719773934
