G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 G18 G19 G21 G22 G23 G24 G30 G35 G38 G42 G43 G47 G50 G54 G55 G56 G57 G58 G60 G65 G67 G68 G69 G71 G72 G73 G75 G77 G78 G81 G82 G83 G85 G88 G89 G91 G93 G95 G98 G99 G100 G102 G105 G106 G108 G109 G110 G112 G113 G115 G117 G118 G119 G120 G122 G124 G126 G127 G128 G137 G139 G141 G143 G144 G145 G146 G149 G150 G151 G160 G161 G163 G165 G166 G167 G168 G169 G171 G173 G174 G175 G177 G178 G182 G183 G186 G187 G188 G189 G191 G192 G196 G197 G198 G201 G203 G204 G206 G207 G208 G209 G210 G215 G216 G218 G219 G220 G222 G223 G226 G231 G234 G235 G236 G243 G246 G247 G248 G250 G252 G253 G254 G257 G258 G259 G260 G262 G263 G267 G268 G269 G270 G271 G273 G276 G277 G278 G279 G280 G281 G282 G283 G284 G288 G289 G298 G299 G302 G303 G304 G305 G306 G308 G309 G312 G314 G315 G316 G319 G322 G325 G327 G329 G331 G332 G333
G1 0 0.392245917090751 1.24371975573782 0.326892791237864 1.23553492829042 0 0 0 0.404239873662077 0 0 0 0 1.6039347002899 1.37847661690549 0.245130777790792 2.74369144263353 1.09830812657683 0 0 0 0.0107623765534397 0 0 0 0 0.863915305720073 0.26316283385592 0.596788568628495 0.776686406621064 0 0 0 0 1.46245860027546 0.990843440891636 0 0.466510096913731 2.02777782424069 0.59094298171877 0.495321279930943 0 0.639387560549128 0.412886273037282 1.2748978472468 0 0.530367662704127 0 0.335660137103525 0 0 0 0 0 0.239089942115009 0.837221323741201 0 0 0.420038527505167 1.34888040351798 0.810799520457892 0 0 0 0 0 0.0741033288250755 0.777316121186646 0 0 0 0 0 1.73721544833524 0 0 0 0 0 0 0 0 0 0 0.122156845440392 0 0 0.812780908901476 0 0 0 0 0 0 0 0 1.48990629981166 0 0 0 0 0 0.0508264813438911 0 0.299249163087671 0 0 0 0 0.17715432725261 0.187762825279253 0 0.906090355715214 0 0 0 0 0.321392817254972 0.971229702324735 0.453158547209247 1.02178853250405 0.802015289558282 0 0 1.28560294231429 0 0 0.280384101464907 0 0 0.806696536614281 0 0 0.189875247147153 0 0.219259984285629 0.739434853756308 0.849491375438112 0 0.813822869306536 0 0.192069879283873 0.159893490322461 1.60860824886228 1.99126165380938 1.20839551551466 1.35271413978961 0.0509426570584584 2.96188727590676 0 0 0.60463358118221 0.646813146765105 0.44223636156943 0 0 0 0.670326186271975 0 0.388111907767935 0 0 0.220110071497544 0 0 0 0 0 0 0 0 0 1.98753690799489 0 0 0.839183182384046 0 0
G2 0 0 0.623001568602959 0.44948010164449 0 0 1.0004804162795 0 0 0 0.213241051114869 0 0 1.86068578203696 0 0.529686776524813 1.77757592784438 0.0324108992214628 0 0.83807722211046 0 0.377915140903675 0 0.283740056310987 0 0 0 0 0 2.3070092850111 0 0 0 0 0.729174513878676 0.917222917782899 0.0768972850665384 0.272822079441913 0.629177814915886 0.014312164175794 0.994543193760955 0.362891653519514 0.67988249722944 0.831306247038545 2.73195141186182 0 1.68338964888178 0 0 0.189800308995228 0 0 0 0 0.335303794026987 0 0 0 0 0 0 0 0 0.329922916865492 0.719620584442953 0 0.33329340230648 0.528895212193935 0.0792167025077778 0.339818316698252 0 0 0 0 0 0 0.401526927838296 0 0 0.0139012816232548 0 0 0.507777261810902 0 0 0 0 0 0.675104524676914 0 0 0 0 0.745349463639367 0 0.0965308694413982 0.298177352024271 0 0 0 0 0 0.398135309474432 0 2.6732963292419 0 0.239718566848841 0 0 0 0 0.327411771814788 0 1.43590056658677 0 0 0.0718137786202753 0 0 0 1.07209271760299 0 0 0.285624118952461 1.09081322422257 0 1.38281553770199 1.42053584190203 0 0 0.653036893293161 0 0 0.791611593481817 0 0 1.57655116376899 0.97307249023738 0 0 0.739776653438028 0.241203968210953 0 0 0.232610961468755 0 0 0.336147677886144 1.66955564687476 0 0 0.142568851541753 0 1.08309358019842 0 0 0.373385284965429 0.508779027842892 0 0.483165654781209 0 0 0 0.0341796112951037 0.117173314812137 0 0.994390874882003 0 0 0.435465968386426 0 0 1.2304466310425 0 0 0.760994452864482 0 0
G3 0 0 0 0 0.577320603455631 0 0.85667591728207 0 0 0.406527378727432 0 0 0.533340650998186 2.04083143125247 0.0100836571942136 0 2.26547882423063 0.869484683650648 0.455760394875555 0.138776077509174 0 0 0 0 0 0 0.0626299781739737 0 0 2.48884362155667 0 0 0 0 2.08002138263712 0.394113674913595 0 0 0.816078163498939 0.0490979664102638 0.19966928698404 0.160806416619489 0.0339655616836294 0.187740773616382 1.31764615852536 0 0.714402236930717 0.687444185442658 0.149591046318719 0 0 0 0 0 0.0662156152458494 0 0 0 0 0 0.75841075097961 0.235436556805128 0 0 0.664969772395982 0 1.51486508407787 0.370204058492138 0 0.187745555744923 0 0 1.19441984098341 0.0335366136592865 0 0 0 0 0 0 0 0 0.375153630239217 0.00836911890039582 0 0 0 0 0.908061717219077 0 0 0 0 0 0 0.336730153109041 0.786628482731426 0 0.493135512586019 0 0 0 0.971677487052542 0 1.24493410252788 0 0.181041449619766 0 0 0 0 0 0 0.747183801935367 0 0 0.0674349338128442 0 0 0.238552974258919 3.16713165619494 1.11437123255899 0 0 0.230871522910218 0.159298557907882 0.380761565389035 0.104219915248086 0 0 0.89466195792197 0 0 0 0 0 0.0569300407253453 1.50998823898045 0 0 0 0 0 0.198272232276408 0.197844611490955 0.586561640035846 0.469325639722698 0.868476244436136 2.88406607324916 0.320568932739793 0 0 0.491389085863926 1.31077085571006 0 0.251037172618447 0 0 0 0 0 0 0 0 0 0 0 0 0 0.674353397863325 0 0 0.559879178846851 0.289764597023693 0.280318108679635 1.56713260960741 0 0
G4 0 0 0.176012299995876 0 0 0 0.889058431949419 0 0.231975260383981 0 0.346566768221389 0 0 3.07935022987915 0 0 1.33857780566177 0.170009444468894 0.23690321201051 0 0.699534229240231 0 0 0.683683958495046 0 0 0 0 0 1.05993877916903 0 0 0 0 0.758617535543255 0 0.102980048530427 0 0 0 0.231583284557322 0 0.2326917800735 0.236837846955877 2.2904750651145 0 1.08664251656659 0 0.479434569984418 0 0 0 0 0 0.140902827168178 0 0 0 0.263021205376707 0 0 0 0 0 0.576987018396076 0 1.67793790155296 1.34582734352639 0 0.253731669641213 0 0 0.713180249092433 0 0.0295089066841913 0.854188589506113 0.479019593403358 0 0.191617401252305 0.231563633609729 0.229836301190497 0 0 0 0 0 0 0 0.934838569615427 0.245140687647189 0.455462872925087 0 0.00246764730974485 0 0 0 0 0.205449431243509 0.575016190938313 0 0 0 1.03860878874167 0.0623018212991492 0.44577858746925 0 0 0 0 0 0 0 1.47986553710629 0.482159252058802 0 0 0 0 0 0 0.566555341877057 0.00722632169672341 0 0.231079938123734 0.731887699705526 0 0 0 0 0 2.05293815785128 0 0 0.82325444133684 0 0 0.919122883155823 1.08028188576484 0.0416256348444127 0 0.667800501103537 0.12338057594437 0 0 0 0 0.185432943789973 0.265486358995726 1.97408333784729 0 0 0 0 1.16648805532269 0 0.355509975702055 0 0 0 0.135858640498762 0 0 0 0 0 0 0.743760735251091 0 0.1832631334499 0.602365719087369 0 0 0.42973103874835 0 0.434993618355332 0.705868591383035 0.0333964043482836 0
G5 0 0 0.377137031902563 0 0 0 0.93197470050532 0 0 0 1.19020359631931 0 0 3.14838800297724 1.25800264392022 0 1.42484550470175 0.35705163193375 0.224901045039809 0.170594744628474 0.0199648249037946 0 0 0.920092854854583 0 0 0 1.46770718800354 0 1.6714663297121 0 0 0.218200220057408 0 1.27658180716837 0.723687024960888 0 0 0.246389764762735 0 0.317171823773763 0 0 0 3.25310867007194 0 2.10996260798244 0.762476000779948 0.77908273466405 0.869267081396951 0 0 0 0 0.134690854723839 0 0 0 0 0 0 0.054366450014243 0 0.0692804511858921 0.806013043476167 0 0 0.508759426974169 0 0.25486481169819 0 0 0 0.0863288312047571 0.122482940645918 0.14567299149095 0.115463847007459 0 0 0.237934643405781 0 0 0.436004741138214 0 0.76239895260818 0 0 0.902893157203462 1.34281372263282 0 0 0 0.555723398490059 0 0 0.706014514605682 0 0 0.819927156725757 0 0.143646147007332 0 0 0.657553560283521 1.54441560795126 0 0.338799299043718 0 0 0.0906335405777297 0 0.0738435481576057 0.183379186975976 0.118390418832311 0 0 0 0 0 0 0.154820907763175 0.985192409025575 0 0.957120260760244 0 0.126996390228219 0 0 0 0 1.2403598462733 0 0 0 0 0.376932074946076 1.42814575711867 0.268014648330027 0 0 1.31754372426147 0 0.291023683685059 0.00454100671712606 0.285475550523681 0.412107376404242 0.0127251761364591 0 1.47912983069422 0 0.0882355724112729 0 0 1.07073494368812 0 0.627866710964961 0 0.556880653125983 0 1.49862117270909 0 0.274557573770759 0 0.333564253280695 0.772950749055238 0 1.09304187865855 0 0 0.579819233981021 0 0 0.91186037938039 0.424068900841191 0 0.690592099104133 0.394350567370331 0
G6 0 0 1.18048459477912 0 1.49449799266988 0 0.966481023565944 0 0.0321329147253497 0 0.11734470777714 0 0.904837605580172 3.53509092640175 0 0.78725967443361 2.38501853218899 0.304729291469592 0 0.304635234450377 0 0 0 1.43893178185451 0 0 0 0.411971637913624 0.270335037400694 1.19117574569727 0 0 0.131389911223601 0 1.32850043155199 2.63615417675069 0.974127827810164 0 0 0 0.271510128717035 0 1.71537666994917 0.221459346747235 1.87903647141933 0 2.02722311610829 0 0.474382331910544 0 0 0 0 0 1.44388441443148 0.951272875276964 0 0.387614533844422 0 0 0 0 0 0 0.45834057823658 0.0936043317608515 0.524864541010227 1.35396897091817 0.278806963530828 0 0 0 1.0024700398784 0 1.04997564455621 0.0868576733912021 0 0 1.43195926455763 0 0 0 0.202447291396166 0 0 0 0 0.686036849878574 0.841389760298006 0 0 0.397453717021589 0.0502392461463123 0 0 1.65140998444314 0 0 0.355493170847498 0 0 0 0 0.564861989431218 0.968159111254918 0 0 0 0 0 0.693300463754619 0 0.899503574941107 0.349184450174075 0 0 0 0.0351989335142419 0 0 0.315742715540351 1.70756046464447 0 0 0.390727756701004 0 0 1.14189572321902 0 0 2.38020404407508 0 0 0.913505065086407 0 0 0.121953458491982 0.694455721750452 0.687232783965054 0 0.686817226831457 0.56161088359311 0.118098752120421 0 0 0.128951158492191 0.283084309852326 0 1.15371993693382 0 0.157621982864445 0.189300818256046 0.107209142039459 1.23837475674569 0.592736944630524 0.524347907120516 0 1.84295298703992 0.397049850687259 0 0 0 0.318990792949034 0 0.556559456795869 0 0.925118250935643 0.948422116572849 0.249156127010461 0.811701115613138 0 0 0.0141415574292636 0 0 2.80865977605715 0.584407248610892 0
G7 0 0.420623524041008 1.45216482273812 0 0 0 0 0 0 0 1.11386870542945 0 0.904559255816021 3.56369854450697 0 0.165486712416218 2.69877439155785 0.718062885405989 0.187519271549158 0.437221787185521 0 0.185568363846045 0 2.77248732429808 0.185721758360299 0 0 0 0.637620393985879 1.77586756522824 0 0.207169961671401 0.109693049869481 0.272356097434457 1.58994043989432 0.0411819206096093 0 1.01799072781856 0.280846698756799 0 0.980940214652574 0.180459269980758 0.846370521939598 0 1.91949587791103 0 2.45863838773145 0.612615623138762 0.879679792505372 0 0 0 0 0 0.539192375371153 0 0 0 0 0 0.0330928076587088 0.55891823192959 0 0 1.18564582359095 0 0 0.599981702752799 0 0 0 0 0.418952841532532 0 0.303485233490481 0 0 0 0.143047181748254 0 0 0 0.474464999838775 0 0 0 0 0.131992473890849 0.838523865257816 0 0 0 0 0 0 1.61768098044208 0 0 0 0.0189890889103092 0.0271078157153617 0.665837606460098 1.06926568650818 0.315045716560818 2.43812481818792 0 0 0 0 0 0.908075743431712 0 0.180292211749082 0.490156082584843 0 0 0 0 0 0 0.344610201578501 0.420794238932035 0 0 0.0594733810191962 0 0 0.319056169705942 0.237130257292443 0 1.50558693369065 0 0 0.61962019865325 0.308606398173348 0.252509864728827 0.879677661532296 0.00316250972841668 0 0 0.268210499158467 1.12620713335596 0.682953119828753 0 0 0 0.462720833517266 0 1.56858533867632 0.468407549135874 0 0 0.0125388176172785 0.959044352017557 0.17107066176346 0.590975687939303 0 0.997555877694083 0.384271664937427 1.63961927343311 0 0 0 0 0.103948364352829 0.204250521149535 1.16377292157827 0.166751378990794 0 0.9365141811592 0 0 0.0148186296098017 0 0 1.94166459789704 0.633578627731036 0
G8 0 0 0.502709830946282 0 0.800039344196306 0 0.742751845523462 0 0 0 1.1178108095149 0 0 3.95857902362985 0 0.952495774363448 1.00360536177542 1.20534831675007 0 0 0 0.052529144264656 0 0.853133931134861 0 0 0 0 0 1.544985509243 0 0 0.293931058168136 0 2.24840746045859 0.840904485401327 0.204670541493066 1.01134487928361 0.105442609038516 0.0649053353134052 0.779841395896505 0 0 0.233359342880245 0.884633026527347 0 3.86698229776991 0 0.0689535123594166 0 0 0 0 0 0.665385860436958 0 0 0 0 0 0 0 0.139918264968593 0.337549324254064 0.00743737955975572 0 0.421367667610126 1.38232972260758 0 0.00989969871134033 0 0 0.673615327437916 0 0 0 0.655576982188742 0 2.0051318264693 0 0 0 0.48084275963017 0 0 0 0 0.0247278383869646 1.16216367450729 0 0 0 0 0 0.228978431866608 0 0.751919524579934 0 0 0 0 0 0 0.0230597798249539 1.87071765678253 0 0.0885994593989641 0 0 0 0.402890183140274 0 0 0 0 0.0916398158096173 0 0 0 0 1.04294613892869 0.546088131776017 0 0.303058057678283 0 0 0.239510847307201 1.31569352781444 0 0 2.21209375775651 0 0 1.04070328460026 0 0.363966282486085 0.505329326252037 0.165701155534153 1.03481199227165 0 0.095168558956939 0 0.244723663834149 0 0 0 0 0 3.15647343629964 0 0.0865701046636475 0.343720652871707 0 1.71061292486294 0.645822908813479 0 0.224448400074066 1.66210075874339 0.178326110788814 0.800537549529832 0 0 0 0.240200270879044 0.033098795838319 0 1.0677547213763 0 0 0.231052322247135 0 0 0.450375870775903 0 0 1.42071696331317 0.806692886484943 0
G9 0 0.222693855448935 1.15474032696874 0 0 0 1.43170375834947 0 0 0 1.12257529496515 0 0.152589383858012 3.45054818831876 0 0.373385691301353 2.13413764257986 0.912705058818966 0.793334163876814 0 0.687354848890039 0 0 1.483734230724 0 0 0 0 0 1.778566828798 0 0 0 0 0.971998833085324 0.689788401584562 0.256468252064146 0 0.39004685007428 0 0.94295810445813 0.819336513453878 0.156353666997392 0 2.56802142895358 0 2.17104850767339 0 0.988842128605513 0 0 0 0 0 0.610911125874346 0.029314867985279 0 0 0 0 0 0 0 0 0.555019742585251 0 0 1.37825524100461 0 0.601230471600968 0 0 0 0 0.374304101227756 0 0.291089769370336 0 0.641024671130191 0.0768439022884864 0.979159431636871 0 0 0 0.0778358724164583 0 0 0.494648694709237 1.31362387389776 0 0 0 0.18071005549674 0 0 0.254206269155888 0 0 0.202284337763747 0 1.14178636625227 0 0.304225463436718 0 2.6381948336364 0 0.690471794195946 0 0 0 0 0 0.291979121863254 0.886597021384771 0.150623973056048 0 0 0.217581474451426 0 0 0.781817485180518 0.62992710626422 0 0 0.404249473636476 0 0.194950469100787 0.695260666420593 0.155056943534509 0 2.75585481611149 0 0 0.226396190848899 0 1.21388504015441 1.33912554545785 0.427546362061009 0 0 0.791307741061815 0.601865895145988 0.0516186638296476 0 0 0 0.376078483540896 0.844742811329235 1.92730626374594 0.207081520795881 0 0 0.45100795182272 0.860875216294731 0.0120067410752271 0.224349683832366 0 1.51785252750462 0 1.03376248009469 0 0 0.00326819723232944 0.27213012979686 0.609583933501464 0.149020735667223 1.70877931307613 0 0 0.81721875423601 0 0 0.707039415993873 0.0798646643564716 0.323670591508135 1.97835868657244 0.672732150608034 0
G10 0 0 2.41650433705801 0.788107913172073 1.43579025365434 0 0.335331275652821 0 1.89137126126207 0 0.374414982796642 0 0 2.95077476573029 0 0 1.99439288398364 0.666728983780633 0 0 0 0.368618450275191 0 0 0 0 0.14870743303549 0.310550336412959 0 1.74407321775919 0 0 0 0 1.5310427901025 0.05268887808382 0.770599610353229 0 0.801752171139584 0 0.76731415018865 0 0.676261754733154 0.294273541232255 0.664612079991266 0 2.11956329785745 0.85225587815869 0.18563736057739 0.351343974801087 0 0 0 0 0.643929356715581 0 0 0 0.917262594380407 0 0.31100360167999 0 0 0 1.00220788112509 0 0.192047543953225 0.0104156070766972 0 0 0 0 0.139321347759379 0.409151956221169 0 0 0 0.146191587853017 0 0.612042563688532 0 0 0 0 0 0 0 0.398972404903401 0.709718022114967 0 0 0 0 0 0 0.426597290063704 0.250373813782992 0 0.15064622921954 0 0 0 0.45766294941794 0.297024972219568 1.68582538064809 0 0.0598265658713858 0 0 0 0 0 0.403466908193151 0.858073785788119 0 0 0.211630365215985 1.54488825793871 0.172583055647173 0 0.425066019038123 1.22317328460402 0 0.0320991784578982 0.256677748136689 0 0 0 0 0 1.90768124338979 0 0 0.0327842505326973 0 0.151452162518357 0.67792006184801 1.42028794207222 0 0 0.478985604244177 0 0 0.0290677348191927 0 1.29560676538635 0 0.218777098334145 1.16249882005019 0 0 0 0 1.75031979298594 0.315374109170337 0 0 1.10067514650421 0 0 0 0 0 0 0 0.0475688287935373 0.289645996282171 0 0.135203489891096 0.637180663639537 0 0 0.872293340217456 0 0.0344588557037043 1.58622422152768 0 0
