G2 G3 G4 G6 G7 G8 G10 G11 G13 G19 G22 G23 G25 G31 G36 G39 G43 G44 G48 G51 G55 G56 G57 G58 G60 G61 G66 G68 G69 G72 G73 G74 G76 G77 G78 G82 G83 G84 G86 G89 G92 G93 G95 G96 G99 G101 G103 G106 G107 G109 G110 G113 G116 G118 G119 G120 G121 G123 G125 G127 G128 G138 G140 G142 G144 G145 G147 G150 G151 G152 G160 G161 G162 G164 G166 G167 G168 G169 G170 G172 G174 G175 G176 G178 G179 G183 G187 G188 G189 G192 G193 G197 G199 G201 G202 G203 G204 G205 G207 G208 G209 G210 G216 G219 G220 G221 G223 G224 G227 G232 G235 G236 G243 G244 G246 G247 G249 G251 G253 G254 G255 G258 G259 G260 G263 G264 G268 G269 G271 G273 G274 G277 G278 G279 G280 G281 G282 G283 G284 G285 G289 G299 G303 G305 G306 G309 G313 G315 G316 G319 G323 G326 G328 G329 G330 G331 G332 G333 G334
G2 0 0.637032420791468 0.460984495763266 0 1.02000732897039 0 0 0.221305824384085 1.54300396815028 1.89273721302543 0.542358973132524 1.80841728629555 0 1.31522163864297 1.41541701313744 1.13658621435222 0 0 0 0 0 0 0 2.3455591489345 0 0 0 0 0.744751235284872 0.0829769044869052 0.281754347508507 0 0 0.0194805494618997 1.01398366098774 0.694741530989146 0.848369997951467 0.905302363403921 0.162996346479484 1.71285966297589 0 0 0.197523787016503 0 0 0 0 0 0 0 0 0 0.376638546295955 0.339686568357007 0.735058201434326 0 0 0 0 0.349726044385058 0 1.80177878365937 0.359492168696907 0.430970415911119 0 0.412333127750582 0.171424213811072 0.0190636844937046 0 0 0 0.520130457713841 0 0 0 0 0 0.68989399155522 0 0 0 0 0 0 0 0.307478790742478 0 0 0.0017892320727615 0.408892127706543 0.883856711617973 2.71717930194404 0.0248025115027945 0.24816885053625 0.213229282408664 0 0 0 0 0.337138861244047 0 1.4617671603082 0 0 0 0 1.09266229942147 0 0 0 1.11165537505424 0 1.4079092178355 0 1.44617872651502 0 1.33039563400428 0 0 0.808097393553489 0 0 1.60446561844096 0.99220034581368 0 0 0.249675879218162 0 0.240957759015321 0 0.369262735924014 0.346001961378347 1.69882423905479 0 0 0.149604643486371 0 1.1038233336577 0 0 0.383781744907337 0 0 0 0.0396372649523187 0 0 0 0.446766317895156 0 0 0 0.478923391168344 0 0 0.777034469925321 0 0 0
G3 0 0 0 0 0.898007727610862 0 0.342622582295563 0.0516102723305004 0 2.09864130784994 0 2.26693617144858 0 0.572130848157289 0.175848049389799 0 0 0 0 0 0.0352002744010763 0 0.00233535609865831 2.52293881623005 0 0.676426244552441 0 0 2.12841836568091 0 0 0 0 0.0924255529552485 0.297368007761171 0.0475242656297445 0.137152645101406 2.05904389252799 0.0387355087301775 0.82188357722702 0 0.216668481658204 0 0 0 0.0945268721049998 0 0 0 0 0 0.925314946641542 0.465542486188378 0 0.617955836071596 0 0.240375158944314 0 0 0.256147505900547 0 0.579900803106352 0 0 0 0 0.453400102698132 0 0 0 0 0.374496729058789 0 0 0 0 0 0.869798752638887 0.350723816625446 0.869370986704278 0 0 0.15226573972216 0 0.274132470658526 0.790054170377437 0.443361332623658 0 0 0.85627433557303 0.679755960026996 1.14695723139974 0 0.286468010508956 0.479137551788128 0 0 0 0 0 0 0.708589049362595 0 0 0 0 3.24539336603298 0 0 0 0.231283715427451 0.209477823304907 0.416439982104212 1.04222892935675 0.163999902770212 0 0 0.377914516331368 0 0 0 0 0.0605799504836561 1.54263454676168 0 0 0 0 0.179510251824549 0.469212004323243 0 0.843394503095279 2.87828919347797 0.416477606897884 0 0 0.483748585035085 1.29529530258119 0 0 0 0 0 0 0 0 0 0 0.511422600356117 0 0.155032798542363 0.391922332310535 0 0.363019149291139 0.136834954265387 1.60949507291502 0 0 0
G4 0 0.191891805383293 0 0 0.912536609632825 0 0 0.364263810307465 0 3.12616954758033 0 1.36684634719188 0 0.157607895594299 0.596515136993547 0.574776111398028 0 0 0 0 0 0 0 1.08523796632456 0 0 0 0 0.780705652217466 0.118081275877958 0 0 0 0 0.248054989638314 0.249175297986498 0.253365547989916 0.254030735591059 0 1.11222627570206 0 0.498547535724016 0 0 0 0.139375890148082 0.0993079438741842 0 0.0827031861332947 0 0.279827932901926 0 0.0864999758256674 0 0.597139564962122 0 0 0 0 0.270439401975697 0 0 0 0 0.877295172009536 0.498128136889039 0 0.248035129277746 0.24628938930757 0.165647222744921 0 0 0 0 0 0 0 0.958804609511669 0.614004312202917 0 0 0.0164977506944181 0.607552332766586 0 0 0 0.595147735115688 0 0 1.06368066997676 0 0.464532893690941 0 0 0.543417140639172 0 0 0 0 0 1.50963973040643 0.501301253740488 0 0 0 0 0.586596721875031 0 0 0 0.753690966278243 0 0 0.165757667149549 0 0 0 0.214470338749615 0 0.846031369917241 0 0 0.942921446719242 1.10579786198012 0 0 0.138699204264345 0 0 0 0 0.282319356763039 2.00912422981163 0 0 0 0 1.19292269921318 0 0 0 0 0 0 0 0 0 0.199219908322166 0.62278871720095 0 0 0.830354516429337 0 0.453632993098753 0 0.727394581817903 0.0477561042046666 0 0
G6 0 1.17580900248183 0 0 0.997852798466287 0 0 0.196654339433076 0 3.56224783330329 0.809999628790569 2.26877070054659 0 1.11760624807988 0.256272165285202 0.014428333110262 0 0 0 0 0 0.348421036394417 0.247609865068815 1.15450822529907 0 1.31565598434245 0 0 1.47114179193642 1.00255357306044 0 0 0 0 0.115919043347037 1.62257081175376 0.182106069527716 1.50207972111302 0 2.04666182702717 0 0.535044505788989 0 0.971681494915849 0 0 0.417948432106084 0.995081742135774 0.0631758945251239 0.299225781755637 0 0 0.939444717618128 0 0.469397728531783 0.0248623556670942 0.167152406158697 0 0 0 0 0.434551712102899 0 0 0.0528981706093434 0 0.0766463748329733 0 0 0 0 0 0 1.33137872806222 0 0 0.615243740590822 0.750468601425656 0 0 0.377074694109755 0 0.24104619540872 0 0 0 0.436354369439044 0 0 0 0.861959085624 1.11229774559143 0.94160920507178 0 0 0 0 0.11592705564989 0.727278553255193 0 0.847022535022991 0.330304178015249 0 0.200779894970264 0 0.472573372899883 0.310053213716389 0 1.9178137267417 0 0.542851205744049 0 0 0.389790072306632 1.24737487158823 0 0.539368732731467 0.295639453194857 0 1.07118748018548 0 0 0.182476025004098 0.733936363413214 0 0 0.544515779848161 0.16612356284963 0 0.174872628055622 0.21523466191708 0 1.05526541836186 0 0.293483470507713 0.113045497442058 0.125330441284197 1.17838899682138 0.703273748437294 0.249772180236219 0 0.477707483245005 0 0.370244995046089 0 0 0.845338302169471 0.152219131253394 0.948845962910221 0 1.07972860485627 0.627420275113183 0 0 0.461955531555039 2.65655827318496 0.626823590385971 0.0316243150889388 0
G7 0.363925211927213 1.41296005236722 0 0 0 0 0 1.40840779281287 0.353735300992149 3.61915163940379 0.272239980356627 2.78138801752971 0.288248079918417 0.566082972660715 0.332403592113267 0.159014784472412 0 0.155120779377679 0.817377684567233 0 0 0 0.67893714069782 1.73570976348441 0 1.4939024978099 0 0.185953917846996 1.3727900501024 0 1.19498081215388 0 0 0 1.01611338776232 0.626034679050214 0 0.258550323215742 0 2.31647139956866 0 0.844688409170572 0 1.78684684142205 0 0 0.849379745537453 0 0 0 0 0.0890341139670615 1.40740406124583 0 1.11731466056841 0 0 0.00676207700676591 0 0 0.0406219489954321 0.931118695104876 0 0.185491461454075 0 0.00638185734150997 2.0991655600784 0 0 0 0 0.367777574958356 0 0 0 0 0.24460151071013 0.953222044640707 0 0.12887652232709 0 0 0.143075815551643 0 0 0 0 0 0 1.09171779771723 1.31888024767905 2.62913755673301 0 0 0.624001742922513 0 0 0 0.833594878951775 0.1476105464229 0.224581770029055 0.75783242327519 0 0 0 0 0.33273307082576 0 0.227458830495456 0 0 0.0968194031533627 0 1.06252810407613 0.29537334970797 0.282691543958723 0 0.762485463192576 0 0.775506882475116 0 0.258694052934795 0.887769925701436 0.231044687641415 0 0 1.25902372429138 1.20936193664385 0 0 0.179497064320922 0 1.60504632041357 0.390508415336213 0 0 0.174703064636344 1.23348369144592 0 0 0.0417869818494137 0.221818207828794 0 0 0 0.28323628871426 0 0.0741205826482666 0.928341319049256 0 0 0 0 0.0125068778125413 0.515627110493401 2.10188054753478 0.614093341360307 0 0
G8 0 0.501554287064547 0 0 0.744225560174373 0 0 1.12339266741338 0.192478194030715 3.99527674297195 0.956266882724975 1.00793629012945 0.512696294236489 1.8748948850741 0.615919734969833 0.975388124363573 0 0 0 0 0 0 0 1.55524635105257 0 1.12108567987883 0 0 2.26637311248875 0.200250475997318 1.01576058109901 0 0 0.058954375896599 0.781721364498259 0 0.22925351518979 2.96586466898686 0 3.90267672827754 0 0.0630468939470743 0 0.73996012732601 0 0 0.195226006402661 0 0 0 0 0 0 0.33458472343602 0.000856954866693104 0 0.469848762351747 0 0 0.00334624460361797 0 1.32222511492552 1.06568648457634 0 0 0.656095842108665 0.229188006063558 0 0 0 0 0.479447698579147 0 0 0 0 0.0183368017328454 1.16823134381231 0 0 0 0 0 0.22482461862794 0 0.753493655811777 0 0 0 0 0 1.88454634911937 0 0.0829080294567595 0.297696205408122 0 0 0.656000168813534 0.400641282076124 0 0 0 0.0859816878835163 0 0 0 1.04770797965527 0.0868184280802199 1.00137685752703 0 0 0 0.235472399052515 0 1.32344285971313 0 0 0 0 1.04544055861134 0 0.361291035233751 0.50420247455736 0.160854245634833 0 0 0 0.240742313260287 0 0 0 0 3.18438543134558 0 0.0808564465366687 0.340823648630263 0 1.7226879378147 0.646234929184104 0 0.220244967918624 0.173617486145041 0 0 0.23616937410576 0 0 0 0.2269212250067 0 0 0 0.568755686962984 0 0 1.42961665117933 0.808866968227133 0 0
G10 0 2.4065235075357 0.744112170320966 0 0.36298045292586 0 0 0.426629509024004 0 3.08129361719623 0 1.91776428946153 0 0.479073595112098 0.187342311469172 0.148250903874568 0 0 0 0 0.0343088692448634 0.543663486374751 0 1.77557317142535 0 0 0 0 1.54817941842676 0.78502404156001 0 0 0.531129426045147 0 0.762199037197748 0.682137985148135 0.214846581011194 1.5320332192067 0.0380732381547279 2.22276786818115 0 0.0367353018795505 0.378938993977528 0 0 0 1.34621782289109 0.0665573474335883 0.294634709496677 0 0.996580526774248 0.243675980225527 0.301380899412917 0 0.807097029732218 0 0.496244684087234 1.16106253210408 0 0 0 0.317957435242887 0 0 0 0 0.00532374066429249 0.625783153505033 0 0 0 0 0 0 0 0 0.768856709903432 0.620168307394038 0.16053777287659 0.768495349979765 0 0.0266677832346304 0 0 0.113738192574992 0.105702415359308 0.0703514696848708 0 0 0.483902738431238 0.743379580236984 1.59292801366799 0.243543959442251 0.122054665475169 0.559188011055986 0 0 0 0 0 0.464380121143072 0.856135085443721 0 1.62613701786439 0.12569964738826 0 0.303258236886204 0 0 0 0.178226389328491 0 0 0.811862096391547 0 0 0 0 0 0.039885795429839 0 0.125292229395662 0.697767856201508 1.46015069172029 0 0 0 0 0 1.6606058204415 0.450709372107404 0.125905100195296 1.23071628325292 0 0 0 0 1.79672947222612 0.308411001735142 0 0 0 0 0 0 0.132370299368793 0 0.191488296137335 0.641001947130344 0 0.116203695283963 0.165981292800127 0 0.0473714946388275 0.216484797271796 1.64868687595364 0 0 0
G11 0.224017873583918 1.49412000217162 0 0 1.41420243952127 0 0 0 0 2.9702377422846 0 2.57262127235375 0 1.00630461208619 0 0 0 0.104100414251784 0 0 0 0 0 2.26226733505712 0 0.159319016474721 0 0 1.68642005374382 0 0 0 0 0 0.849116574552972 1.39973475540201 0.815629288413208 1.29398248645805 0 2.12618331730041 0 0.947093457171598 0 0.556711052979918 0 0 0.88164435744414 0 0 0 0.034006722908537 1.10404925230972 1.52967372224926 0 0.391672524983779 0 0.605183857707886 0 0 0 0 0.601281164229335 0.436891492532348 0 0.0248525229902426 0.883972472206442 0 0 0 0 0 0.273167927563917 0 0 0 0 0 0.36503401283952 0.0113753168155862 0 0 0 0.345544177769164 0 0 0.0141402366259333 0 0 0.093286456214383 0.00674489146657826 0.347895816066093 1.7611139822136 0 0 0 0 0 0 0 0 1.13319906546761 0.397969547771785 0 0 0 0 0.493389796650169 0 0.889394065181691 0 0.092644963110664 0 0 1.12909647638596 1.48948876909151 0.320009413022224 0.448949474136686 0.300791663636028 0 1.18769373153675 0.141882462350196 1.74856850544691 1.34464708985753 0.526292075108498 0 0 0.746408030527912 0.592430289217698 0 0 0.469517833368609 0.754342588955289 1.84482417861675 0 0.257173585370447 0.43213836197923 0 0.689800879730922 0 0 0.159129809890289 0 0 0.107118580572691 0 1.36060610523985 0 1.26038348088754 0 0 0.222705875451626 0.440627582420287 0 0 0.926144895589921 1.89107921172667 0 0 0
G13 0.134846592781276 0.77387030899312 0 0 0.604123211715898 0 0 0.191668106066668 0 1.24318584548062 0.456997446156745 1.12962655869513 0 0.120806923148649 0.251225217675936 0.832598010742002 0 0 0.746515751421834 0 0.486571592374902 0 0 1.39393385218667 0 0.468090046308887 0 0 2.97505607518988 0.621265036403939 0.563334014820252 0 0.148338551592976 0.552009477891435 1.91314294902945 0 0.577743565166652 0.972735995373183 0 1.21923975568265 0 0.0427522903778257 0 0.251770920947234 0 0.920117133933433 0 1.40537769176087 0.196676816667172 0.0111698082967436 0.109049930413991 1.56353260886462 0.170338085169509 0 0.772026658246296 0 1.64253860464377 0 0 0 0 1.28957028396393 0 0.928025480073205 0.479612372092209 0.975329323951735 0 0.588596168476621 0 0 0 0.0727311540612324 0 0 0 0 1.70990511843655 0.0395402416235613 0 0.798073501329953 0 0.161136211672971 0 0 0.258553100554859 1.02643135197813 0 0 0.130022609746129 0 0.337510983784754 5.19066015124971 0.0965821217209502 0 0 1.57553897543969 0 0 0 0 0 0.564863537243721 0.514777971463417 0 0 0 0 0 0.17124524043217 0 0 0 0 0.640809369388587 0.336548405830387 0.532747071230922 0.0437540596304074 1.10388796634458 0 0.400311926502345 0 0.199498652732027 0.564815857659429 0.430396807129432 0 0 0 0 0.145619745914881 0 0 0.483602683783487 1.95051474537339 0.491638519720654 0 0 0.32754388678689 0.952256677360309 1.33964500912285 0 0.126290654270876 0 0 0 0 0 0 0 0 0 0.804188403215677 0.468969146874605 0 0.302869732917228 0 1.22988003043779 1.37992671189784 0 0
G19 0 0.69557033040373 0.297608026016315 0 0.253521274875069 0 0 0 0.00270661406634962 0 0 2.09823729133558 0 2.30798174561542 0.721247798869071 0 0 0.0878373760650321 0 0 0 0 0.840966389608343 0.448757305361454 0 1.32826251981455 0 0 1.0283346737658 0.0606109781728817 0.407186181228147 0 0 0 1.40119069520873 0.00971276351965837 0.675465676476957 0.971916403552547 0.422061406291777 4.2270574991874 0 1.25981018690711 0 2.04494853095884 0 0 0.621831619431479 0 0 0 0 0.489976356520694 1.14217779251055 0 0 0 1.1694819956425 0 0.234708041252605 0.160964982187735 0 0.795957187167985 0.658292521511392 0.175228230571494 0 0.587242001947724 0 0 0.353683051888214 0 0 0.433853925221007 0 0 0 0 1.01754144800452 1.34525373903295 0.578251616120593 0.538672120890633 0 0 0.835253500707488 0 0.0325893580096627 0.0981635659367676 0 0 0 0.435948250057329 0.253164606906372 1.57409026587503 0.104723794071672 0 0.133549378741458 0.202348304585223 0 0 0 0 1.13243108858681 0.356346557856314 0 0 0 0 0.994633675917385 0 0.779589865471093 0 0.0465216190020043 0.596733615764241 0.114477067799252 0.610156285063276 0.312015172933886 0 0.403762666875005 0 0 0 0 0.485745347161215 0.909290655953834 1.43892720323176 0 0 0.0626916177440396 0 0.81156671535608 0.544669218797646 0 0.384792016344921 2.36433995005933 0.301811461121144 0 0.450393165497285 0 1.93604187334313 0 0.25020402664207 0 0.303473756038413 0 0.100889868128058 0 0 0 0 0.421098486619456 0 1.20151554273745 1.09662007963801 0 0.658698955571815 1.11203476936921 1.62606816905551 0.799367224787423 0 0
