G313 G332 G273 G235 G326 G202 G116 G175 G162 G39 G4 G142 G31 G92 G58 G178 G6 G174 G285 G315 G144 G140 G76 G284 G260 G258 G299 G36 G277 G74 G232 G187 G251 G118 G278 G208 G167 G271 G328 G145 G246 G83 G127 G23 G150 G263 G152 G61 G330 G207 G166 G44 G189 G22 G109 G103 G334 G123 G197 G274 G216 G55 G289 G66 G170 G107 G138 G8 G305 G11 G125 G68 G96 G269 G110 G188 G199 G2 G243 G51 G331 G193 G95 G25 G160 G323 G43 G259 G236 G306 G10 G205 G254 G253 G179 G78 G106 G203 G201 G172 G224 G56 G164 G7 G319 G309 G192 G101 G333 G93 G283 G82 G255 G84 G60 G264 G281 G120 G244 G161 G282 G48 G19 G247 G99 G128 G316 G113 G219 G73 G329 G303 G147 G204 G72 G151 G3 G69 G121 G13 G57 G279 G168 G86 G221 G77 G119 G227 G209 G280 G220 G223 G89 G169 G268 G176 G210 G183 G249
G1940 0 0 0 0.0557260829330882 1.1122704064371 0.415668673446984 0 0 0 0 0.854233782673778 0 0 0 0.866372583094788 0 0 0 0 0 0 0 0 0 0.0473876558942646 0.605951390449815 0 0 0.542263892348363 0 0.169661152041543 0 0 0 1.06676044401822 0 0 0 0 0.0701574410934675 0 0.854049309313637 0.161363063599365 1.54912748903186 5.70073945967579 0.266029254622564 0 0 0.0995835313829789 0 0 0 0 0 0 0.565543352256405 0 0 1.45697961316515 1.10796452621148 0 0.212122088340558 0 0 0 0.440383670215351 0.888537081244639 0 0 0.0432152719127161 0.9794759636387 0 0 0 0 0 0.72667721124775 0 0 0 0.717698247921633 1.51745613741818 0 1.33535780279419 0 0.715521428859209 0 1.43053263640048 0.568532614575426 0 0 0 0.100474489301999 0 0.165899835060588 0.35788354393056 1.07090499726081 0 0.27526773528011 0.269657039016079 0 0 0 1.2318985198976 0 0 0 0.415684566220414 0 0.0381888455091312 1.35231708367025 0 0.440531230585088 0 0 0 0 0 2.68081378325628 0.628588204536674 0 0 1.02856056578506 0.870249486174177 0 0 0.465948865853335 0.854180921264004 0 0 0 0 0 0 0 0 0.808214648258757 0.544789712294803 0.677682311530663 0.779786415983631 0 0 0 0 0 0 0.0995629042701126 0 0.516319078024513 0.485684726671055 0 0.601566333114724 0.661826277202704 0.489138967442408 1.62229550128193 0 0 0 0
G313 0 0.180644544724218 0 0 1.21113254585012 0.277931824572421 0.348613881070876 0.631747545168698 0 0.235021471063248 0 0 0.355901434604886 0 0.484479546528769 0 0 0 0.138022588284073 0 0 0 0 0 0.603160312480579 0 0 0.0676260713842264 0.652875334648096 0 0 0.686141153831729 0 0 1.02732474373379 0 0 0 0 0 0.30525083472597 0.24880396762639 0 2.2316454637597 0 0 0 0.755201031640726 1.33409711670776 0 0 0 0 0.629618134893384 0 0.200485856183252 0 0.113000068654847 2.55578960928875 0.656024624861029 0 0 0.590035613457506 0 0 0.126025901012999 0.494967454259141 0 0 0.897317613583631 0 0 0.394179724412802 0.350332499283108 0.233868718519138 0 0 0 0 0 1.16464967200574 0.268217440160633 0 0.276867101651835 0 1.40396244733288 0 1.09216065222379 0 0 0 0 0.857207116962215 0 0.426681781008278 0.388411259819549 0 0 0 0 0 0 0 1.75649034570229 0 0 0.85934240920089 0 1.22776499672982 0.964841413985142 0.468314688496416 0.29361608663069 0 0.830223813846879 0 0 0 0 0.352200417268936 0.409168001958286 0 0 1.78788631324739 0 0 0 0 0.17771935375019 0.58509205662274 0.010473006126077 0.924568351272009 0 0.329501598627149 0 0 0 0.925912416622033 0.0145463499827534 0.139977047356731 0 0 0 1.13455965788615 0 0 0 0 0 0 0 0 1.13472619738073 0.653810935973348 0.0501549143808459 0.279219232187329 0 0 0.0134563365695141 0
G1035 0 0.215111826312204 0 0.10441860228198 0.253266025608229 0.988983784165916 0.572366330406776 0 0 0.548965275352602 0 0 1.03299484480768 0.19665038506152 1.18126226827437 0 0 0 0 0.269541558514817 0 0 0 0 0.514668291264886 0.235383265148535 0 1.13970891128315 0 0 0 0.0849655825598459 0 0 1.80344139646934 0 0 0 0.303636084330192 0 0.380139447855254 0.536093344696699 0.180941633757573 2.40788222981377 0 0 0 0.245319991906073 0 0.347502206734212 0 0 0 0 0 0.0872276478984842 0 0 3.14906184254501 0 0 0.463192189865054 0 0 0 0 0.567014342234123 0 0 0.511715339374851 0.0401504368330853 0 0.0620945950082021 0 0 0.147366601266473 0 0.153646301625288 0.292010089366214 0 2.32517051263138 0.466519984215739 0 0 0 0 0 1.9962421148682 0 0 0 0 1.7326652025487 0 0 1.15670635723899 0 0.233122318878405 0.400424779543761 0 0 0 0 1.69226133893564 0 0 0.715894061276997 0 0 1.34088638877357 0.189927151932438 1.42281965784215 0.15020796905959 2.00603807992713 0 0 0 0 0.772298297695314 0.187742456683372 0 0 2.22235420613301 0.198497808534395 0 0 0.597091062595362 0.456579311591148 0.365844289582075 0 0.18069498907845 0 0 0 0 0 0.765864878221748 1.80554133250791 0.449229780041253 0.23699103671614 0 0.864564056802464 0.385028050920842 0 0 0 1.02282628453925 0.44653495711283 0 0 0 0.630149633427538 1.92041375722969 0.58902746106722 0.223938507248793 0 0 0 0.324874844536153
G3459 0 0 0 0.824471808909898 0.0962480439111437 0.345309573699693 0.0657615693409901 0.0298610900543723 0 0.365225960379977 0 0 0.731788097785987 0 0.95891244049401 0 0 0 0 0 0 0 0 0 1.26671748955396 0 0 0.669404024755205 0.946326400171011 0.0784582303348266 0 0.952643019262922 0 0 1.96165780623442 0 0 0 0 0.596941108058319 0 1.41268451711291 0.722051383918203 1.17104838636915 0.164173213185081 0.0660927079824973 0 0 0 0 0 0.152718358947032 0 0.0473907147912696 0 0 0 0 1.67797715110761 0.628028981298839 0 0 0 0 0 0 1.35462196648505 0 0 0.979765486761892 0 0 0.779982733383745 0 0 0 0 0.333932103918439 0 0 1.14631254941439 0.73381720709526 0 0 0 0 0 0.282824380824997 0 0.813468886723357 0 0 0.420378456865742 0 0 0.718341938899289 0 0.731390600875644 0 0.10510673346049 0 0 0 1.90621105667465 0 0 1.07476676713031 0 0 0.348910434172403 0.342089107197209 0.4682648174154 0 0.685310163103801 0 0 0.0301195666879705 0 0.522847988888226 0.326016051982114 0 0.888152635492828 2.47971062983671 0 0 0 0.242070087792481 0.72850350865987 0 0.351376731071768 0.488554471068924 0 0 0 0.353462073281874 0 0.668795380522827 3.16094074337844 0 0 0.500546000378028 0 0 0 0 1.08234523446391 0 1.18576137559743 0.422522716806497 0 0 0 0.961916923016723 0.581473704132328 0 1.72557823117412 0.664823407529043 0.0565805785347821 0.0529421961072669
G1704 0 0 0 0.632527370406825 0.416285768427867 0.479645685697843 0.806441173199179 0 0 0.348724958125552 0.244025977545859 0 0.860293288291054 0 0.844863815893386 0 0 0 0 0.854070823742678 0.485151489829294 0 0 0 0.45715866469244 0.745778134375248 0 0 0 0.415770874875448 0 0.513495657452262 0 0 1.41567119561488 0 0 0.886155957923504 0 1.58613080627315 0 1.27256810126516 0 1.98826593406262 0 0 0 1.34071391924664 0 0 0 0 0 0.251305291477164 0 1.35110700205086 0 0 1.25037870890537 0.32927192143819 0 0.222230471022877 0 0 0 0 0.561376907768515 0 0.311445965924906 0 0.232674877116987 0 0.7193724798335 0 0.176288591695989 0 0.202274675759203 0 0 0 1.61265875476182 0 0 0 0 0.792859352876409 0 0.812027544187199 0 0 0 0 1.08423719990109 0 0 0 0 0 0 0.0311674283132069 0 0 0 0.55101458763731 0 0 0.6721370872919 0 0 0 0.6602561323519 0.887353554398232 0.324567988779442 1.6023837066185 0 0.175195372871859 0 0 1.25747302047949 0 0.0329433310295305 0.519417817456398 2.30172192000503 0.192208140971466 0 0 0 0.428632302649826 1.23755118244398 0 0.897569762438336 0 0.17495259619627 0 0.00367682882152102 0 0.124373924428023 1.74084264410703 0.595943055529673 0 0 0 0.825052297601127 0.591487110248023 0 0 1.33835824172894 0.476902241424687 0.819953237385747 0 0.152890954846395 0 1.6438244911236 0.582454263023334 0 0.555416159872476 0 0 0.515220668032511
G332 0 0 0 0.597933757849675 0 0.977737743632296 0.688828615344031 0 0.299652274414583 1.11013810353151 0 0.765108931263892 1.60184780563691 0 1.91152908632191 0 0 0 0 0 0 0 0 1.61323241277001 0.25938257715975 0.785268085543117 0.666848986959323 0.693396463902513 0.00584892783275208 0.377363762972873 0.668164141726023 0 0 0 2.45985875498264 0 0 0 0 1.12681083179445 0.51482840903738 0.978984892719697 0 2.00310480820255 0 0 0 0.737217721164994 0.318867252360141 0 0 0 0.233531871050398 0.0931440117163232 0 0.431295095905612 0 0 1.57852924023661 0.335586441072633 0.111700740490235 0.208713890830352 0 0 0 0 0.540878801918512 0 0.608238129052279 0.345786516975541 0.677460549474024 0 0.228051494808756 0 0 0 0.101394981700147 0.137705333029836 0 0 2.29205143904506 0.190791502316249 0 1.4242397300676 0 0.156673849402559 0 1.60328918803589 0 1.14951692223322 0.121778006333511 0 0.234683134147174 0 0.550807665846448 0.860399831818599 0 0.700804831461294 0.546954671269339 0 0 0 0 0.897015162935323 0 0 0.540105462768513 1.05650862276765 0.4109882663019 1.62265645801713 0.849486553534579 0 0 0.580144455857815 0 0 0 0 0 0.704251215626424 1.92589971865578 0.140357730250943 2.58389193670681 0.304196541225194 0.0882616443465695 0 0.397348345962099 0 0 0 0 0 0 0 0 0.250170850438712 1.09304446371187 1.16483582708326 0.0392580985451039 0 0 0 0.735153212974588 0.0586111715325164 0 1.21786959975982 0.416258410556247 0 0.09408205956278 0 0.520113395015226 0.0714762691030439 2.07774648534325 1.55154193606365 0.247568299848061 0.389045622962704 0 0 0.578163659397434
G2527 0 0 0 0.955183332950035 0.0816754019378283 0.673973873940538 0 0 0 0.63038737959913 0 0.121771728346902 2.06168850611478 0 2.19788377373937 0 0 0 0 0 0 0.667365468252135 0 0 1.22318717311196 1.12607676200573 0 0 1.50000302724837 0 0 0.742204787089129 0 0.338760028413716 1.92379488581715 0.465030702351485 0 0 0.0234055710855016 0 0 0 0 2.05814328866814 0 0.33693117115808 0 0.325288207166011 0 0 0 0 0 0 0 0 0 0 1.33861898888818 0.940937120479187 0 1.72489765187069 0 0 0.0777158805481318 0 0.589025565749904 0 0.476390980343321 0.277018165776538 0.601406129337434 0 0.0455183098151001 0 0 0 0.0812834997757269 0 0.0142542817781656 0 1.78606122617702 0 0 0 0 0.654600858441024 0 0.359779973567232 0.369108637257795 0 0.0223340769875377 0.118687487228083 0.428412138639889 0 1.75926481990965 0.0234324856563746 0 0 0.409600605621486 1.98429750352085 0 0 0 0.420302750007194 0 0 0.863754123158627 0 0 0.620077626571997 0.730746887203857 0 0 1.19382542698557 0 0 0 0 0.970970204152464 0 0.781357412317481 0 0.74593860229843 0 0 0 0.0552267549571982 0 0 0.729997819755063 0 0 0.97589933462846 0 1.05473355734609 0 1.91637141870234 1.59117257065386 1.04112417528955 0 0 0 0.983411326232113 1.45388439496633 0 0.872355161661075 0 0 0.395954536545246 0 0.145729965653379 0.350643098368142 1.90577625887752 0.247304212242992 0 0.0221360579703309 0.762764944930113 0.204728598150927 0
G961 0 0 0 0.683742879056136 0.170616840254181 0 0.401553537627576 0.0671424512869882 0 0.791044924775485 0 0.142377366499942 2.00186503587511 0 1.57722257315555 0 0 0 0 0 0 0.222400833847057 0 0 0.103830581891009 0.583843633104932 0 0 0 0 1.38831036354143 0.438137629915931 0 0 1.78886233574402 0 0 0 0 0.332359883538496 0 0 0 0.990785059348636 0 0.169545449891512 0 1.02544274318083 0 0 0 0.521755147568715 0.214430904973901 0.305445742724271 0 0.513567910144949 0 0.527872747158716 2.65987224877664 1.50198510161095 0 0 0 0 0 0 0 0 0.305446619761921 0.476247508710681 0 0 0.0225999442228265 0 0 0 0.583724299647963 1.99103733272157 0 0 1.54444837859073 1.49672402201662 0 0 0 0.980938728524703 0 1.71587698224753 0 0.406171558988796 0 0 1.07958766056624 0 0 1.36516442943372 0 0 0 0.579744231604785 0 0 0 1.16005688907477 0 0 0.675431175530089 0.229040032225666 0 1.27150130683647 0.0747828821171836 0.195301986384963 0 0 0 0 0 0 2.1140392595412 0 0.0982931545612113 0.259515920149641 1.89273612825953 1.11414449528952 0 0 0.327490622147555 0.736885355992796 0 0 0 0 0.294250683270708 0 0.58972559552689 0 0.502906577176821 1.29169116191996 0 0.0137092155828345 0 0 0.289225581031551 0 0 1.08479229369886 0 0.210495046448781 1.03764127993135 0 0 0 1.67100052939941 0.29992604061957 0.115526916039924 0.639197968078668 0.568529260869069 0.0680528309539904 0
G2141 0 0 0 0.668940727155916 0 0.286240568862634 0.0795551713258316 0 0 1.94008441021754 0.451002170999414 0 1.41012701578778 0 0.765001826077888 0.11134306554595 0 0 0 1.03473935900462 0.741631306253356 0 0 0 0 0 0 0.91856270107793 0 0 0.1367811781222 0 0 0 1.07881375566584 0 0 0 0 0.396585786671803 0 0.353993371090727 0 1.83991525090532 0.163521495429465 0 0 0.132705153968209 0 0.111774375356287 0 0.225755352191723 0 0 0 0 0 0.753978275451818 2.21512911724674 0 0 0 0 0 0 0 0.200601376280222 0 0 0.502915747844799 0.859128955045588 0 1.28871583989111 0.3927180858631 0.238336371878936 0.374689556206346 1.52193479325292 0 0 0 1.47223593140923 0.653133074739845 0 0.271787112870492 0 0 0 0.480339435478143 0 0 0 0 1.88956584305063 0 0.26580687510775 0.773004208166328 0.0240159226849834 0 0.447370890616076 0.796189287558356 0.195523137394073 0 0 0.986084464222419 0 0.480636407150723 0 1.84849238106848 0 1.03256120914365 0.628030510675174 0.262507958297494 0 0.336126057610604 0 0 0.225655895401789 0 1.15571938106868 0.641348781529239 0 0 1.89192361479765 0 0 0.00731335949553917 0 0 0.197583258854142 0 0.386521378162592 0 0 0 0 0 0.987053995075658 1.35236569762993 0.349953533713548 0 0 0 0.320766300759145 0 1.02032600336553 0 1.52926764582238 0.877908721297844 0.145729910836096 0 0 0 1.17483643805318 0.907209215919708 0.413989657848297 0.020520605824389 0 0 1.49262167495725
G992 0 0 0 0 0.528281846785575 0.186913977182869 0.606291105878464 0 0 0.165263895846239 0 0 1.02150901231249 0 1.73092969058274 0 0 0 0 0 0 0 0 0 0.278960531217883 0.209696561522488 0 0.126315608148064 0 0 0 1.79413214298025 0 0.116502462322845 1.52681891826863 0 0 0 0 0.655093546496284 0.763227800761953 0.167393727703956 0 3.22928901222683 0 0 0 1.09163881581074 0.0991164285884334 0 0 0 0 0.0078468910776641 0 0.59127681067954 0 0 1.35010096633864 0.472471432366679 0 0 0 0 0 0 0.214663772826641 0 0.0873097044257765 1.15640151965172 0 0 0.0837560879528214 0.131816190347562 0.55491335143545 0 0.491060066608438 0 0.0337187776430429 0 2.14847742762012 0.232153126283545 0 0 0 0 0 1.63931262998565 0 0.17569555652525 0 0 0.671424893654695 0 0.0397771510027123 0.481885525900394 0 0 1.16518566409686 0 0 0 0 1.65085242849579 0 0 0.64719344074462 0 0 1.05475666896063 0.809281804856837 0.314977965536301 0 2.01721938235554 0 0 0 0 0.473228719097864 0.795663577953152 0.287747923244242 0 3.39422379191839 0 0 0 0.860610514990563 0.154206829498002 0 0.315534484331196 0.630665091088553 0 0 0 0 0 1.65362974307881 2.09834006929188 0.0104475232616182 0 0 0.052715553934025 0 0 0 0 0.20164836107401 0.166789137883837 0.0573182351469543 0.262545866837414 0 1.00833737161626 2.16687335227351 0.523862097241726 0 0.275292939170166 0.287453216212272 0 0.0487173936325521
