G313 G332 G273 G235 G326 G202 G116 G175 G162 G39 G4 G142 G31 G92 G58 G178 G6 G174 G285 G315 G144 G140 G76 G284 G260 G258 G299 G36 G277 G74 G232 G187 G251 G118 G278 G208 G167 G271 G328 G145 G246 G83 G127 G23 G150 G263 G152 G61 G330 G207 G166 G44 G189 G22 G109 G103 G334 G123 G197 G274 G216 G55 G289 G66 G170 G107 G138 G8 G305 G11 G125 G68 G96 G269 G110 G188 G199 G2 G243 G51 G331 G193 G95 G25 G160 G323 G43 G259 G236 G306 G10 G205 G254 G253 G179 G78 G106 G203 G201 G172 G224 G56 G164 G7 G319 G309 G192 G101 G333 G93 G283 G82 G255 G84 G60 G264 G281 G120 G244 G161 G282 G48 G19 G247 G99 G128 G316 G113 G219 G73 G329 G303 G147 G204 G72 G151 G3 G69 G121 G13 G57 G279 G168 G86 G221 G77 G119 G227 G209 G280 G220 G223 G89 G169 G268 G176 G210 G183 G249
G1940 0 0 0 0.147690727067829 1.16213501980762 0.445227590560169 0 0 0 0.032966977723196 0.846570263896077 0 0 0 1.01488071176164 0 0 0 0 0 0.00710703226490991 0 0 0 0.0158130766781391 0.677607353024722 0 0.102788859746584 0.431070737463766 0 0.0861804312209103 0 0.13737163852828 0 1.13242981873646 0 0 0 0 0.169882866512571 0 0.94976158074803 0.236985476590378 1.42380110257895 5.7334849666771 0.246524509009874 0 0 0.134867433773964 0 0 0 0 0 0 0.48664120316435 0 0 1.38593449775574 1.04750523157371 0 0.207447682781973 0 0 0 0.268651858804446 0.945850910782786 0 0 0.0310182715261492 1.13029370193713 0 0 0 0 0 0.510024353305863 0 0 0 0.587741141492955 1.88569637086226 0 1.17751358740901 0 0.524917639345607 0 1.67595468232466 0.619618918276395 0 0 0 0.306783157601164 0 0.18863852444593 0.334679754577536 1.1480617738275 0 0.231612608706449 0.353813550095284 0 0 0 1.10930753902191 0 0 0 0.201348673257418 0 0.0493415567144105 1.20473709181925 0 0.676210557271 0 0 0 0 0 2.56099892330962 0.671675687557186 0 0 1.06649178123181 0.788737469462585 0 0 0.315099534009879 0.813714776127469 0 0 0 0 0 0 0 0 0.952623544707353 0.542970900825838 0.931233066939271 0.703961381319824 0 0 0 0 0 0 0.122664327274798 0 0.687742880308585 0.467863861995632 0 0.62499178219281 0.661309952491018 0.42491768054782 1.48486240545474 0 0 0 0
G313 0 0.15030761961077 0 0.0144907396520294 1.17397281889734 0.297195702509051 0.308149807676278 0.546764478158734 0 0.152030719991705 0 0 0.372723905601373 0 0.444675565220194 0 0 0 0.148100558488506 0 0 0 0 0 0.619493439340889 0 0 0.0330120970786973 0.85823057381609 0 0 0.609991285686412 0 0.0985287978590475 1.02835352277384 0 0 0 0 0 0.299538258200233 0.3432196615763 0 2.25908958110953 0 0 0 0.765603851414434 1.0430513376626 0 0 0 0 0.470422892187353 0 0.322740764828099 0 0.123324458806585 2.60975129503712 0.687307617881332 0 0 0.470286059749384 0 0 0 0.425564683155272 0 0 0.914471734246459 0 0 0.579450799934093 0.35669734592175 0.169706237344315 0 0 0 0 0 1.29006745058111 0.0966526996086502 0 0.139552192663975 0 1.35953821407947 0 1.08489072128392 0 0 0 0 0.842747173047101 0 0.507761974958495 0.493425469426364 0 0 0 0 0 0 0 1.76007229895163 0 0 0.803716682348754 0 0.999256437300861 0.941772434004395 0.419171685080944 0.288065088324369 0.0273049163693958 0.794468790329897 0 0 0 0 0.324634932734021 0.32661358494884 0 0 1.8869807062294 0 0 0 0 0.116841345609112 0.585442745513483 0 0.889623427570673 0 0.20704861869926 0 0 0 0.954682654785713 0.0232266672104522 0.0237465095262733 0 0 0 1.10238146066809 0 0 0 0 0 0 0 0 1.03624191382898 0.642605293195261 0.0107115785515487 0.143378888869092 0 0 0.0440674141791597 0
G1035 0 0.210954489958341 0 0.100153355592235 0.24914588423624 0.985580864205959 0.568557266983532 0 0 0.545133399189617 0 0 1.02963482944625 0.19247505139713 1.17804679281235 0 0 0 0 0.265437283499944 0 0 0 0 0.510802980362737 0.231245690598458 0 1.13645292713825 0 0 0 0.0806813719099254 0 0 1.8008324582122 0 0 0 0.299565046686122 0 0.37614299023834 0.532248920210429 0.176750986268471 2.4058625364171 0 0 0 0.241192104268013 0 0.343473932394256 0 0 0 0 0 0.0829456424443435 0 0 3.14776469510054 0 0 0.459276696998826 0 0 0 0 0.563200061374615 0 0 0.507847149759637 0.0358225377146935 0 0.0577880883598562 0 0 0.143143222839546 0 0.149429045023621 0.287927718011047 0 2.3230701869353 0.462607735481294 0 0 0 0 0 1.99382113021404 0 0 0 0 1.72998726744984 0 0 1.15346694321495 0 0.228982540223483 0.396448097274211 0 0 0 0 1.68954401574838 0 0 0.712224917219031 0 0 1.33782652439443 0.185745264060674 1.41983966688491 0.145987360566917 2.0036266449621 0 0 0 0 0.768684139840437 0.183558439040791 0 0 2.22015364898856 0.194324275848241 0 0 0.593306102311028 0.45265737209802 0.361833896194979 0 0.176504101145452 0 0 0 0 0 0.762244448687079 1.80293444139327 0.445300675787815 0.232855029517375 0 0.861039845095086 0.381036359004841 0 0 0 1.01945635626071 0.442603225785785 0 0 0 0.626396900603499 1.91791885058424 0.585234639904707 0.219789775668285 0 0 0 0.32082451169825
G3459 0 0 0 0.864647181782457 0 0.36156248770574 0.00292813798050438 0 0 0.195064637490385 0 0 0.868826760121722 0 1.27160536606773 0 0 0 0 0 0 0 0 0 1.48690238895132 0 0 0.598967097227477 0.911908410282744 0.0352927417748183 0.115006782502246 1.09533919798632 0 0 1.79100145988221 0 0 0 0 0.449937642138666 0.0594584226929227 1.62686209673398 0.991251706530171 1.07838961810563 0.0190829914630565 0.442737706782991 0 0.130484190631723 0 0 0 0.160852985477159 0 0.0892984431197898 0 0.0829747232210969 0 0 1.84193864924739 0.668084910090809 0 0 0 0 0 0 1.58699644188792 0 0 1.17830265782419 0 0 0.678183562215164 0 0 0 0 0.16682717523612 0 0 1.3362403148876 0.351503821294147 0 0 0 0.0740610666546332 0 0.17804374543116 0 0.51192161277911 0 0 0.607473305975659 0 0 0.97922964876756 0 0.514353466189722 0 0.13017905862143 0 0 0 1.93875591504421 0 0 0.892265908021869 0 0 0.531092665750296 0.378437411263479 0.436383644836316 0 0.636232837128982 0 0 0 0 0.735257628795879 0.253736131870306 0 0.687578976671127 2.84782250895635 0 0 0 0.281765740550175 0.589799143460098 0 0.49762135655782 0.489810790538699 0 0 0 0.302756548100425 0 0.664056291397185 3.33895312756308 0 0 0.470429731540664 0 0 0 0 0.837749735197165 0 1.52027991534977 0.470026744285473 0 0 0 0.85395103502312 0.477471136925885 0 1.51152192539721 0.710274377312966 0 0.144140581814348
G1704 0 0 0 0.473990263369075 0.35973807999583 0.277696432545888 0.857477443472727 0 0 0.401601186369016 0.211611926028269 0 0.994981586515582 0 0.982872975310637 0 0 0 0 0.818826655422083 0.249616859853498 0 0 0 0.66241287844317 0.691448326725 0 0.13385671804616 0 0.32897852586506 0 0.467975455303443 0 0 1.35722758143533 0 0 1.0932787813507 0 1.36094551605026 0 1.19490609321239 0 1.88162066184207 0 0 0 1.37323566662728 0 0 0 0 0 0.238099367629618 0 1.3692696592016 0 0 1.20184871943683 0.328850918137449 0 0.156947837213003 0 0 0 0 0.533175749099318 0 0.178479047993065 0 0.1997642640199 0 0.653357052991849 0.00156681227701837 0.0864715932174988 0 0.297218430208405 0.0889830667567185 0 0 1.4861841844319 0 0 0 0 0.706213714614335 0 1.0273578792268 0 0 0 0 1.16727862417878 0 0 0 0 0 0 0 0 0 0 0.50876459463913 0 0 0.713615402390919 0 0 0 0.685536264457863 1.04481056802658 0.249820365555878 1.55581462386176 0 0.139283263788496 0 0 1.22167527769403 0 0 0.5339000186774 2.28340933237527 0.179895715164988 0 0 0 0.255714830414189 1.15497050504793 0 0.897852326478323 0 0.116201518797426 0 0 0 0.100581253213844 1.64165245652653 0.649265030788066 0 0 0 1.071487660557 0.521648144724506 0 0 1.31195454244533 0.387625970664391 0.701547025362398 0 0.0720536835011821 0 1.63833956465871 0.964773556261238 0 0.5590269720737 0 0 0.472788636367885
G332 0 0 0 0.621833277357438 0 0.978096741950119 0.710410412018331 0 0.386254678062197 1.11812973919123 0 0.594957256044007 1.56856848939668 0 1.92801637194531 0 0 0 0 0 0 0 0 1.36768276830425 0.317123851273623 0.693476659656793 0.541305067302712 0.656257717237012 0.0782342928711577 0.375804668496184 0.597484505159879 0 0 0 2.44125975569817 0 0 0 0 0.724478538991737 0.556853691483502 1.07699016427279 0 2.12030511968798 0 0 0 0.748017812050715 0.315253555431218 0 0 0 0.300296868193978 0.151946423147809 0 0.447567170047195 0 0 1.46255742185843 0.234568067366375 0 0.348151581258343 0 0 0 0 0.480004342629453 0 0.443751123147273 0.322294043276144 0.567642381961183 0 0.209573481463585 0 0 0 0.0041089884383139 0.249035905748397 0 0 2.31522100515577 0.153278334058923 0 0.930148500109717 0 0.252141251553776 0 1.73368955630804 0 1.01931792595957 0.0307245761849832 0 0.272200091639515 0 0.508401442282547 0.827836114037278 0 0.55459969032731 0.400480430772345 0 0 0 0 0.781840547376009 0 0 0.680521559059724 1.14345211157361 0.0385000749554887 1.54809442394608 0.839350267848705 0 0 0.601112438657221 0 0 0 0 0.0683936410819006 0.709372896126075 1.88296127409741 0.162364714808981 2.46090281441181 0.162289682241781 0.0658783301664842 0 0.359993729716885 0 0 0.0163369475251535 0 0 0 0 0 0.219205715770546 1.18122072308145 1.36635678066666 0.0550747886475532 0 0 0 0.499426545366619 0.0106924336570106 0 1.01268895891055 0.209227213777787 0 0.202260758335978 0 0.377708672438184 0.0880023555235474 2.03188903412239 1.50590016331919 0.0603108956960425 0.409382783329813 0 0 0.548268258136646
G2527 0 0 0 0.962220121551318 0 0.607698907189986 0 0 0 0.570280050872005 0 0.247922852484897 2.05811151893199 0 2.20901573584319 0 0 0 0 0 0 0.643029877242196 0 0 1.14898985400821 1.15664071660604 0 0 1.45461142253873 0 0 0.773065926446432 0 0.365280136055575 1.99101754142721 0.436693029761812 0 0 0.0223766776980813 0 0 0 0 2.09142185180127 0 0.325857661461922 0 0.297459478524909 0 0 0 0 0 0 0 0 0 0 1.48775691860821 0.796415420687935 0 1.59741250160394 0 0 0 0 0.581802003212243 0 0.325080983658247 0.288981799711503 0.494420625100372 0 0.0639742735296706 0 0 0 0.00744907565783611 0 0 0 1.72634288913177 0 0 0 0 0.58833513685179 0 0.426776480607543 0.252970505232391 0 0.125369840261246 0.138446298819067 0.499748473390582 0 1.49774710219358 0.0479947357129453 0 0 0.470822964911126 1.79473964267666 0 0 0 0.486634974600336 0 0 0.783092710348095 0 0 0.707017227522815 0.573350693375227 0 0 1.21096722347544 0 0 0 0 0.919052945951815 0 0.773845482269544 0 0.737291533915092 0 0 0 0.0411178131335718 0 0 0.723717501546284 0 0 0.917595612389968 0 0.955655139618972 0 1.81141840517623 1.46562523404958 0.926265475396233 0 0 0 0.817859786284253 1.33675134535126 0 0.905533754147151 0 0 0.375779092770768 0 0.0969164370757488 0.251691453927915 2.0060430648702 0.280344440984209 0 0.00573230784379815 0.748745449528088 0.110757686756617 0.0402867222438838
G961 0 0 0 0.657199928451575 0.196221933546989 0 0.481175126432923 0.282232712707623 0 0.714544311189782 0 0.178597401983943 1.73796412837157 0 1.40256841448524 0 0 0 0 0 0 0.140442463041987 0 0 0 0.773804222560068 0 0 0 0 1.43354091163993 0.303670860299815 0 0 1.81081109405014 0 0 0 0 0.486177443957694 0 0 0.109900674121315 0.806691849221715 0 0 0 1.1720162109596 0 0 0 0.445298277211902 0.199981625929599 0.363340080463775 0 0.502740474060004 0 0.667180800887169 2.80934962333917 1.3002708408808 0 0 0 0 0 0 0 0 0.210439586005089 0.325561029798035 0 0 0.202427179220646 0 0 0 0.61960129585891 1.83235356649826 0 0 1.63510762695517 1.56968926899648 0 0 0 0.884657529102558 0 1.83523279719415 0 0.361028221465057 0 0 1.15872364905151 0 0 1.54194618225624 0 0 0 0.410335264946287 0 0 0 1.11912179768279 0 0 0.895647622565682 0.221172788078343 0 1.15467347777327 0.221574182611755 0.153643702515344 0 0 0 0 0 0 2.07214129962916 0 0.207326487730341 0.167223957168253 1.71356896371811 1.12402666392647 0 0 0.284536080485091 0.652366408758386 0 0 0 0 0.481421832485945 0 0.357287987449977 0 0.573780423199886 1.07378154735059 0 0 0 0 0.202606774071899 0 0 1.06122658444867 0 0.253058891521847 1.02800168406726 0 0 0 1.70628594492314 0.293876530009539 0.269134550398298 0.893631130058467 0.643550041004589 0.096707780505427 0
G2141 0 0 0 0.621720396068471 0 0.23443565706477 0.0252742587578122 0 0 2.05569194354681 0.550834912679959 0 1.37178577264439 0 0.868596146452758 0.0574429580638665 0 0 0 0.99190113572437 0.695281776547979 0 0 0.0875314521635566 0 0 0 0.874332732188512 0 0 0.0831858081159161 0 0 0 1.0365035244033 0 0 0 0 0.346102762378013 0 0.303000108265147 0 1.80672268306186 0.11024646274278 0 0 0.079060954973207 0 0.0578794347773097 0 0.173225853921641 0 0 0 0 0 0.707776657043556 2.33609532906893 0 0 0 0 0 0 0 0.147770544367456 0 0 0.453706510034681 0.814186995842859 0 1.24892014390002 0.34218872820326 0.335621470190945 0.32394422463714 1.48493295843935 0 0 0 1.43463872594215 0.605723374882167 0 0.219809054983961 0 0 0 0.5805236247709 0 0 0 0 1.85696806761077 0 0.213757176585341 0.72703051212034 0 0 0.397496249681618 0.900157220097245 0.142631470397924 0 0 1.09232725802036 0 0.431160272572016 0 1.81540256349738 0 0.989696892579606 0.580320093066277 0.210418740192859 0 0.284918752175025 0 0 0.173125205682812 0 1.11433044560157 0.593797910986971 0 0 1.8593540844333 0 0 0.101830903043632 0 0 0.29438015267547 0 0.335917786651587 0 0 0 0 0 0.943644521967309 1.31333249912855 0.448575756863395 0 0 0 0.269374992146531 0 0.977315114381326 0 1.49235365537917 0.833191735490711 0.0922417427383928 0 0 0 1.13367651657729 0.862843237237966 0.513379005790533 0 0 0 1.43347756632013
G992 0 0 0 0 0.352441334945686 0.00942013487528315 0.73643399945306 0 0 0.147716653505325 0 0 0.97660109548816 0.0741440101635503 1.74439426206286 0 0 0 0 0.175854770685999 0 0 0 0 0.101912493526911 0.0323130610020931 0 0.077072044470653 0 0 0 1.56517363789038 0 0 1.48435834443566 0 0 0 0 0.479867215619109 0.765587006453529 0 0 3.06653015756015 0 0 0 1.04707055526676 0.0982591758393347 0 0 0 0 0 0 0.721346986245461 0 0 1.38039168928836 0.504930116804101 0 0 0 0 0 0 0.374417601689944 0 0.0378772253442331 1.0292249535592 0 0 0.0343063978127443 0.131117310770683 0.562682179943958 0 0.467011952614202 0 0.0640524726001084 0 1.93196588716078 0.00636034515830683 0 0 0 0 0 1.84806589294997 0 0.18162773785619 0 0 0.62482143137582 0 0.0386325032047531 0.514389805161029 0.0349192257613953 0 1.17474277130317 0 0 0 0 1.7311178098316 0 0 0.600472619443585 0 0 0.9614917355041 0.794853703259747 0.395191912891681 0 1.80007212616344 0 0 0 0 0.676334344339258 0.781169519857338 0.239286216879091 0 3.35819983424172 0 0 0 0.888530512547172 0.105098350021963 0 0.444269170444298 0.792433718986354 0 0 0 0 0 1.66671993146742 2.09015520114762 0.0827680109777136 0 0 0.180177341851938 0 0 0 0 0.403438654322175 0.239866827369169 0 0.317416729466642 0 1.04339138960101 2.2348873549329 0.476543951218618 0 0.275288953581143 0.238990082506828 0 0
