#Experiment	Perturbations	PerturbationLevels	Treatment	DeletedGenes	OverexpressedGenes	Time	Repeat
10	NA	NA	NA	NA	NA	NA	1
11	NA	NA	NA	NA	NA	NA	1
11	NA	NA	NA	NA	NA	NA	2
12	NA	NA	NA	NA	NA	NA	1
13	NA	NA	NA	NA	NA	NA	1
13	NA	NA	NA	NA	NA	NA	2
14	NA	NA	NA	NA	NA	NA	1
14	NA	NA	NA	NA	NA	NA	2
15	NA	NA	NA	NA	NA	NA	1
15	NA	NA	NA	NA	NA	NA	2
16	NA	NA	NA	NA	NA	NA	1
16	NA	NA	NA	NA	NA	NA	2
16	NA	NA	NA	NA	NA	NA	3
17	NA	NA	NA	NA	NA	NA	1
17	NA	NA	NA	NA	NA	NA	2
18	NA	NA	NA	NA	NA	NA	1
19	NA	NA	NA	NA	NA	NA	1
20	NA	NA	NA	NA	NA	NA	1
20	NA	NA	NA	NA	NA	NA	2
21	NA	NA	NA	NA	NA	NA	1
21	NA	NA	NA	NA	NA	NA	2
22	NA	NA	NA	NA	NA	NA	1
22	NA	NA	NA	NA	NA	NA	2
22	NA	NA	NA	NA	NA	NA	3
23	NA	NA	NA	NA	NA	NA	1
23	NA	NA	NA	NA	NA	NA	2
24	NA	NA	NA	NA	NA	0.00	1
24	NA	NA	NA	NA	NA	400.00	1
25	NA	NA	NA	NA	NA	80.00	1
25	NA	NA	NA	NA	NA	140.00	1
25	NA	NA	NA	NA	NA	300.00	1
25	NA	NA	NA	NA	NA	480.00	1
26	NA	NA	NA	NA	NA	0.00	1
26	NA	NA	NA	NA	NA	400.00	1
27	NA	NA	NA	NA	NA	75.00	1
27	NA	NA	NA	NA	NA	75.00	2
27	NA	NA	NA	NA	NA	90.00	1
27	NA	NA	NA	NA	NA	90.00	2
27	NA	NA	NA	NA	NA	112.00	1
27	NA	NA	NA	NA	NA	112.00	2
27	NA	NA	NA	NA	NA	185.00	1
27	NA	NA	NA	NA	NA	185.00	2
27	NA	NA	NA	NA	NA	202.00	1
27	NA	NA	NA	NA	NA	202.00	2
28	NA	NA	NA	NA	NA	80.00	1
28	NA	NA	NA	NA	NA	140.00	1
28	NA	NA	NA	NA	NA	300.00	1
28	NA	NA	NA	NA	NA	480.00	1
29	NA	NA	NA	NA	NA	50.00	1
29	NA	NA	NA	NA	NA	50.00	2
29	NA	NA	NA	NA	NA	100.00	1
29	NA	NA	NA	NA	NA	100.00	2
29	NA	NA	NA	NA	NA	160.00	1
29	NA	NA	NA	NA	NA	160.00	2
29	NA	NA	NA	NA	NA	240.00	1
29	NA	NA	NA	NA	NA	240.00	2
29	NA	NA	NA	NA	NA	360.00	1
29	NA	NA	NA	NA	NA	360.00	2
29	NA	NA	NA	NA	NA	520.00	1
29	NA	NA	NA	NA	NA	520.00	2
