G1241	G888	G1183	G365	G1250	G1432	G803	G28
0.1003691	0.7804253	1.0921932	0.7053017	0.9860325	0.2188570	0.5389504	1.1063053
0.1085859	0.8418963	0.8851833	0.6578719	1.0512890	0.2565863	0.5558215	0.9701808
0.1170742	0.0218756	1.0853378	0.6405506	0.8925809	0.7623298	0.1126358	0.9683261
0.0600695	0.0260938	0.9892944	0.8541920	1.0062518	0.1297940	0.2831370	0.8689945
0.0832252	0.0515879	0.9851376	0.8801837	1.0787471	0.1177093	0.1892095	0.9705724
0.0753140	0.4153890	0.9629372	0.8662219	1.1433987	0.0512748	0.0066206	1.0293192
0.0520628	0.3051913	1.0279303	0.7822974	1.0035603	0.1173293	0.0139834	1.1137076
0.2461352	0.3618849	0.9541083	0.8272294	1.0322113	0.3183267	0.1497773	1.0889391
0.2484755	0.3508992	1.0870689	0.9345390	1.0188426	0.3695051	0.1342609	0.9614453
0.3204778	0.3546810	0.8058424	0.8267643	0.8931272	0.2061652	0.1429506	0.9958157
0.0403801	0.1632084	1.1279955	0.7373696	1.0482798	0.0617298	0.1597254	1.0205077
0.0639436	0.1021584	1.1568211	0.6879989	0.9477532	0.0920460	0.2666867	1.1594146
0.0412611	0.1535342	0.7766575	0.7732695	1.1014024	0.1252078	0.1803232	1.0322007
0.2812855	0.2523067	0.8834324	0.4484883	1.1188786	0.2914541	0.3924279	0.8710332
0.1707291	0.2068514	0.9092044	0.4746061	0.9270063	0.2664511	0.3054457	1.0042400
0.1922742	0.1892415	1.0823259	0.5707456	1.0954836	0.2744572	0.3353564	0.8125907
0.0745310	0.1775849	1.0427539	0.4667889	0.6155733	0.3761623	0.6261822	0.7295533
0.0642533	0.1754232	1.0626119	0.5212933	0.5702442	0.4500723	0.4794617	0.8184723
0.2777827	0.5732828	1.0534653	0.7970270	0.2085961	0.7351143	0.1200433	0.8844316
0.2284672	0.5870094	1.0570258	0.9082944	0.4231898	0.7088230	0.1066458	0.8884918
0.0389360	0.0957209	1.0903204	0.5550945	0.9644533	0.4694267	0.2380655	0.8017495
0.0293107	0.0564368	1.0761804	0.7018502	0.8477773	0.4021299	0.4335730	0.8111969
0.0470862	0.0836050	1.0315573	0.7339503	0.8348521	0.4324745	0.5198110	0.8690189
0.3776601	0.6346434	1.1740089	1.0624205	1.1014023	0.5859229	0.1338117	0.6272892
0.2267885	0.3342718	0.9012291	0.6662094	0.6546574	0.4661769	0.1529888	0.7379699
0.1831574	0.3710399	0.9618690	0.5174276	0.6385329	0.5131871	0.2706296	0.7330120
0.0534801	0.1705964	0.9652079	0.4852629	0.8618686	0.7699606	0.2914449	0.9395070
0.0585047	0.2024009	1.0120636	0.4442653	0.9513813	0.5736249	0.3881535	0.9701644
0.1294059	0.8336470	0.9445366	0.8188498	0.8378411	0.2525687	0.0381294	0.9802134
0.0539435	0.7357693	0.9970116	0.6903809	0.7459453	0.2771606	0.0803241	0.9644794
0.0523331	0.3744899	1.0846659	0.5772082	0.5702294	0.1554804	0.0948505	0.6540232
0.0344602	0.4203209	0.9362286	0.4913402	0.4743159	0.2169653	0.0717679	0.5742225
0.0413827	0.3355909	1.0795901	0.6730077	0.6483824	0.1484307	0.0921496	0.6831049
0.2403138	0.0862603	1.1678530	0.8972080	0.6108589	0.3652859	0.3030833	0.9863470
0.2319824	0.1754997	0.9055057	0.6788080	0.5254394	0.4052751	0.2669587	0.8131862
0.2462072	0.1518923	0.9434395	0.4997111	1.0136532	0.5218110	0.0558475	0.7686582
0.1059659	0.2433630	0.9658900	0.5365905	1.0664602	0.1697199	0.1999515	0.8069405
0.1690031	0.3270236	1.1869991	0.8112737	0.7259021	0.1729550	0.1643236	0.8654052
0.2292083	0.3475539	1.1245387	0.7651175	0.7595311	0.1784806	0.1895085	1.0942306
0.1313252	0.9297267	1.0004391	0.5208092	0.6730200	0.4479952	0.3211851	1.0002369
0.2150116	1.0158647	1.1339426	0.5633292	0.7372057	0.4196006	0.3403041	1.0031796
0.0404714	0.5812581	1.0294901	0.3705643	0.8566118	0.5257265	0.5048840	0.4336007
0.0638949	0.4242529	1.0284966	0.4033690	0.9618640	0.6557279	0.6579489	0.4712339
0.0394541	0.3985729	0.9971182	0.4442278	1.1098260	0.5677280	0.5084332	0.3551459
0.4375325	0.4601037	1.0057380	0.5568489	1.0424265	0.5972568	0.1530111	1.0015177
0.3838545	0.5650356	1.1209753	0.5826115	0.9888912	0.6548645	0.1086827	1.0264328
0.0306504	0.2444916	1.1053390	0.6777695	0.9085041	0.4611827	0.2160558	0.9438362
0.1273981	0.5567018	1.0429887	0.3436933	1.0053188	0.6148047	0.5053976	0.3486735
0.1963258	0.3291356	1.1256371	0.7802967	0.9658153	0.2970397	0.0698008	0.7633921
0.2025970	0.4354087	1.0108619	0.7017427	0.8082707	0.2205497	0.1503870	0.8014416
0.2984018	0.3763049	1.0034572	0.6647621	0.7267094	0.2199764	0.1270853	0.7120621
0.3057000	0.4919609	1.1116146	0.6333934	0.6683128	0.2936143	0.1103867	0.7379876
0.0364060	0.3365191	0.8891142	0.7746673	0.9803871	0.4107310	0.1895710	0.9495890
0.3522822	0.9117208	0.9186650	0.7389323	1.0233572	0.5026140	0.0963929	0.9675492
0.0391808	0.0885737	1.0918259	0.7037492	0.8397605	0.2238560	0.1615311	0.7617469
