G626	G1249	G406	G807	G1036	G294	G755	G915	G1517	G1304	G1253	G554	G161	G192
0.9823280	0.6272247	0.8711315	0.8200411	1.0082838	0.7750323	0.6040850	0.2148260	1.0058129	0.8208633	0.5036796	0.4344938	0.6782241	0.4793841
0.8392142	0.4801107	0.7523400	0.8438541	0.9758291	0.7426735	0.4079237	0.2147109	0.6347845	0.9461970	0.5144347	0.4212729	0.7265350	0.3992580
0.7311194	0.4127078	0.9585259	0.9904253	0.6060255	0.5730025	0.4497038	1.2271256	0.7188268	0.1214637	0.3668735	0.5085075	0.9096779	0.7274894
0.7315916	0.6406539	0.6237693	0.8357731	0.9646445	0.6451539	0.0737908	0.4846414	0.9194966	0.2831599	0.3947830	0.3215842	1.0270360	0.9167816
0.7364493	0.6223747	0.6717777	0.8460735	0.6716472	0.6734864	0.1307935	0.5706292	0.8540367	0.2827876	0.3097258	0.2831428	0.8335344	0.8846209
0.7000042	0.5183569	0.3165815	1.0236786	0.6268468	0.5023249	0.4108164	0.4670496	1.1836244	0.5294179	0.2361291	0.0091968	0.9672582	0.7104985
0.5913077	0.3674103	0.2943805	0.9776173	0.4929045	0.4177010	0.3861743	0.4623099	0.9430107	0.3864415	0.1480517	0.0014165	0.9060446	0.8648899
0.7562673	0.5190657	0.7334720	0.8283773	0.1603625	0.5101298	0.5218314	0.2383784	0.7342589	0.1755281	0.2213241	0.5491581	1.0455653	0.7506812
0.8099462	0.5652860	0.6918267	0.8799013	0.2277563	0.4519757	0.5955389	0.1780761	0.7598497	0.2587802	0.1577373	0.8170287	1.0027837	0.7738747
0.7084083	0.5283878	0.7264548	1.0059504	0.2348814	0.5049058	0.5855400	0.3115245	0.8860674	0.2527958	0.1848188	0.8057179	0.8236327	0.6423546
0.6038280	0.5213709	0.4972505	0.9287781	0.4981841	0.5344930	0.4607021	0.7771756	0.7279433	0.3454653	0.3450498	0.0042024	0.9486713	0.6906579
0.7968237	0.3573067	0.5213338	0.7133563	0.4610261	0.6033149	0.4714716	0.9082090	0.6530777	0.4107478	0.3406932	0.0298549	0.9031742	0.5667362
0.6686967	0.3459891	0.5232098	1.0280360	0.3864807	0.5832697	0.4016530	0.7004106	0.6371117	0.4444076	0.3116207	0.0146254	0.9841493	0.7872947
0.6611308	0.5039044	0.1940702	0.8772157	0.1890873	0.7780956	0.6166714	0.5512575	0.9641779	0.2271028	0.4284723	0.0033477	0.8977665	0.6861926
0.6593755	0.3957540	0.3282319	0.7811201	0.2752979	0.6864722	0.6104158	0.5357638	0.9911945	0.1824030	0.2991748	0.0011570	0.9808131	0.6157355
0.6125484	0.4929100	0.2536794	0.7745258	0.3632647	0.7323585	0.7016935	0.4810406	1.0199149	0.3394309	0.2714499	0.0185898	1.1003117	1.0434751
0.8465767	0.4352139	0.3654912	0.9038061	0.6230399	0.7790622	0.4321171	0.2584671	0.9552249	0.4360020	0.3068650	0.4362495	0.7837988	0.6387169
0.7542243	0.4997095	0.4127067	0.8930960	0.7050999	0.5904305	0.4698644	0.3137891	0.9576789	0.4369103	0.4321735	0.3353652	0.7874928	0.6476703
0.5559591	0.6746257	0.5089667	0.7467947	0.2822376	0.5049434	1.0615207	0.8449485	0.7510804	0.6359790	0.2950530	0.0043082	1.0333310	0.8731270
0.5384669	0.7806727	0.2843361	0.7522879	0.3065351	0.5983726	0.8840889	0.5109177	0.8573178	0.4703923	0.3057597	0.0006596	1.0703352	0.8173334
0.7255788	0.7136694	0.9071595	0.7554221	0.6603305	0.4830830	0.0828133	0.0340061	1.0765837	0.5762571	0.3266444	0.2430639	0.8591543	0.5955605
0.7879756	0.4281181	0.2217458	0.8624805	0.4754022	0.4445607	0.4438146	0.7230599	0.8565938	0.7208609	0.2495945	0.1134030	1.0623191	0.7265929
0.6654616	0.4096954	0.1631224	0.8582393	0.4511307	0.5159123	0.4636617	0.5636984	0.9085082	0.7312594	0.2899407	0.1812102	0.9749203	0.8012571
0.6467730	0.8169142	0.2930496	0.8379469	0.9912049	0.6886015	0.9347228	0.6570695	0.8074736	0.5026232	0.2710886	0.3642937	1.0001112	0.7590719
0.8557886	0.4733618	0.5090495	0.9277932	0.6271497	1.1264428	0.4347118	0.3781191	0.8260028	0.0147208	0.1681045	0.2761701	1.0904310	0.6311896
0.7676841	0.4221828	0.5635830	0.8684653	0.6624977	0.9023509	0.5280317	0.3398203	0.7678709	0.0427273	0.2733915	0.2639469	1.0305136	0.6534049
0.6150393	0.4747842	0.3638780	0.8199424	0.7820446	0.7963364	0.4168472	0.3613616	0.6905888	0.4402887	0.1738670	0.0340714	0.8310558	0.7263964
0.5255585	0.4004062	0.4180298	0.7793069	0.6742365	0.7144505	0.4467159	0.2585068	0.7409846	0.3883935	0.0835700	0.0195474	0.9193573	0.8608366
0.6366240	0.4964938	0.4014021	1.0308886	0.8315224	0.6226482	0.0206535	0.8044761	0.8468385	0.5441093	0.2083535	0.2695770	0.7834881	0.7770503
0.5808072	0.4695053	0.5848456	1.0449693	0.7199764	0.4952818	0.0440264	0.9391517	0.7089640	0.6622097	0.3944940	0.2036385	0.8848064	0.7160992
0.7612390	0.3868598	0.7082034	0.7915917	0.4998281	0.7052952	0.5786642	0.1946024	0.9289920	0.1218793	0.4770914	0.1147947	0.8028871	0.5430515
0.6359450	0.4115772	0.7016836	0.6940029	0.3843809	0.6892438	0.5196902	0.2832939	1.1028629	0.1825588	0.2992258	0.1141910	0.7886084	0.7287857
0.7364601	0.3711743	0.6884079	0.7342919	0.5648415	0.6183812	0.5522367	0.2331471	0.9288998	0.2870727	0.3110187	0.1703110	0.9933802	0.6451546
0.5780898	0.1750479	0.5388453	0.9057556	0.2703461	0.6921425	0.4624347	0.3645198	0.8948448	0.2695715	0.3153811	0.0110245	0.9477039	0.8128552
0.4807487	0.2457119	0.5326437	0.7946822	0.1471221	0.5865645	0.4556205	0.3910664	0.9095393	0.2082603	0.2622695	0.0204808	0.9859280	0.7950249
0.9892322	0.3798789	0.0718136	0.7974388	0.7246493	0.3788241	0.3796892	0.4994831	0.7208064	0.7003504	0.4359026	0.0182833	0.8011904	0.3969958
0.6461505	0.6765189	0.3065214	0.9698602	0.4529028	0.7477411	0.3602243	0.5121082	1.2140885	0.5409906	0.3703585	0.0862554	0.9818273	0.7530329
0.8655239	0.8329632	0.5902653	0.8645902	0.7775401	0.5614171	0.4024412	0.0711735	0.8399272	0.5084703	0.3290035	0.2054945	0.7830149	0.4372605
0.9002257	0.7028736	0.6150911	0.7848914	0.9055079	0.5854298	0.4450231	0.0328829	0.5793561	0.5378379	0.4589719	0.1380001	0.7565500	0.4779481
0.5373033	0.5103143	0.5724848	0.9283393	0.1483149	0.5189878	0.9737995	0.0488896	0.6802575	0.4063654	0.2368670	0.3242309	1.0372769	0.8247917
0.7250868	0.4235751	0.5382586	0.8331227	0.2522380	0.6014460	0.8832079	0.0393497	0.6798576	0.5238347	0.2367003	0.3413411	0.8965252	0.4518695
0.8711053	0.4120866	0.2548719	0.9951042	0.7422324	0.7274444	0.8851170	0.4965488	0.9733662	0.5529846	0.4129314	0.2570123	0.9788313	0.7093288
0.6940532	0.3794166	0.1454455	0.8842491	0.9200641	0.6850308	0.8224815	0.3584279	0.7384255	0.3819029	0.2926542	0.2548814	0.9631534	0.9480656
0.9226972	0.4693911	0.3308889	0.8981798	0.9132456	0.7751628	0.7495427	0.5266020	0.6559699	0.3530558	0.2773558	0.2079931	1.0154744	0.7866261
0.6136176	0.4284071	0.2632264	0.8341206	0.7979323	0.5472878	0.7262297	0.2197409	0.7141744	0.6191295	0.3701359	0.0035411	1.1097022	0.7115107
0.6330671	0.4049786	0.3688680	0.8224936	0.7402111	0.5110483	0.4816534	0.3224855	0.8520123	0.6317120	0.3828506	0.0167162	0.9305603	0.8549935
0.6688093	0.4128368	0.5059268	0.7747725	0.5261149	0.6605374	0.3815204	0.4181124	0.8645513	0.4959141	0.2984272	0.0836033	0.9251959	0.7277876
0.7489750	0.6078981	0.1741292	0.7102964	0.2680130	0.7245524	0.0088696	0.2740090	0.9579308	0.4500836	0.3085189	0.2637988	1.1614362	0.7963303
0.6383406	0.6395961	0.2757056	0.8461797	0.4068938	0.5011319	0.3531341	0.3195434	0.9636303	0.4796977	0.1894668	0.0365786	1.0140190	0.7714521
0.4983668	0.7167843	0.4307196	0.8192016	0.4883686	0.5274321	0.4654864	0.2467123	1.0269055	0.4787024	0.2412957	0.0050485	1.0146928	0.7374621
0.7008941	0.8667229	0.3686204	1.0436778	0.4374087	0.5708601	0.4911505	0.2856422	0.9030832	0.4881695	0.3037807	0.0200094	1.0929608	0.8188719
0.5483881	0.9243733	0.3698756	0.8583373	0.2458414	0.5918530	0.5227586	0.1914497	0.8176737	0.4587660	0.2552488	0.0229453	1.0733971	0.6996598
0.6123649	0.3942250	0.4321885	0.7852937	0.5362404	0.5323598	0.4372753	0.2783905	0.8706134	0.4695081	0.3343473	0.0671270	1.0533628	0.7069346
0.7953175	0.3805183	0.3317445	0.8816539	0.5012605	0.7869338	0.4571163	0.7404677	0.7936884	0.5038988	0.2031070	0.0702378	1.0510063	0.7729265
0.8021471	0.6375339	0.2131640	0.9145318	0.4945877	0.6997084	0.2988188	0.3105127	0.7993957	0.4756260	0.3319219	0.0091337	1.0282665	0.6629984
0.8786016	0.7105193	0.1874967	0.9432832	0.4080670	0.6254208	0.3802689	0.2241076	0.8255077	0.4545462	0.3179430	0.0041839	0.9297635	0.7885321
0.7833851	0.6360266	0.2496413	1.0460937	0.3432221	0.5428499	0.2342761	0.2413077	0.7523266	0.4119406	0.2301548	0.0074119	0.8141499	0.6424620
0.8167768	0.7267449	0.1713587	0.9154424	0.4018493	0.5649864	0.4664066	0.2285122	0.7697390	0.4971931	0.3589377	0.0034651	0.8881292	0.7761940
0.7656721	0.5137179	0.1196479	0.8472784	0.3560705	0.5294257	0.3896380	0.2442619	0.6121476	0.3904351	0.3690135	0.0071519	0.9253096	0.6176585
0.7748889	0.6251756	0.1912835	0.9011365	0.4128554	0.4907487	0.2588018	0.2781810	0.7703178	0.6996076	0.2920638	0.0027225	1.0044659	0.9116338
0.8549765	0.5434690	0.2013216	0.9459159	0.4746625	0.6902011	0.3596901	0.1986966	0.7203021	0.5203433	0.3401544	0.0005373	1.1554014	0.7235786
0.8888963	0.5632151	0.1698405	0.8876057	0.5431261	0.5831176	0.3340939	0.3050336	0.8287516	0.5241746	0.4053818	0.0015234	0.9905207	0.5839152
0.8079725	0.5007802	0.1567644	1.0112669	0.3671604	0.5662354	0.3120278	0.2664899	0.5956919	0.4718238	0.2806316	0.0005894	0.9391177	0.7833453
1.0582226	0.4779287	0.2456759	0.9678886	0.4217212	0.5912809	0.3359592	0.1860861	0.8848083	0.4392362	0.3336651	0.0044068	0.9689522	0.9068607
