G117	G235	G820	G120	G171	G43	G5
0.5774755	0.9461893	1.0732607	0.8970564	0.3799088	1.1046340	0.1723238
0.5845698	0.8089575	1.0985712	0.9103214	0.5595686	0.8736667	0.1733112
0.7457650	0.7803324	0.8350815	0.9155847	0.4106503	0.9288869	0.2448833
0.3774139	1.0909494	0.8118231	0.8095028	0.5673664	0.7301000	0.2537921
0.3916284	0.9039307	0.7484821	0.8255171	0.4753827	0.8979350	0.2077183
0.1687345	0.6342769	1.2921534	0.4472957	0.4217393	0.9260474	0.1686139
0.1780087	0.5612599	0.9247725	0.4586232	0.4852040	0.9718363	0.1826433
0.6966548	0.9028627	0.9993852	0.9306545	0.5061729	0.7665649	0.0536562
0.6339916	0.8956475	1.0598989	0.9697082	0.3575710	0.7383340	0.1577311
0.6291027	0.7512600	0.8378568	0.8681003	0.3843067	0.7468922	0.0883061
0.2080116	1.0848477	0.9897129	0.6512215	0.3686273	1.1393801	0.0617198
0.2144680	1.0037886	0.9183956	0.5312978	0.4450885	1.2260046	0.0929664
0.2674498	0.9820539	1.0223551	0.5452222	0.3955806	0.8482223	0.1007050
0.5840480	0.8289743	1.0127509	0.5111025	0.7499378	0.8951401	0.0925095
0.6192957	0.8899076	0.9104486	0.7267244	0.7314324	1.0141986	0.0552678
0.5518783	0.7397460	1.0389913	0.5129786	0.7360142	1.0909517	0.0463735
0.3544742	0.4248565	0.9121365	0.6337199	0.7198209	0.7723668	0.1798440
0.4448373	0.3782616	0.8798065	0.6899516	0.9619653	0.7778206	0.2457804
0.1676095	0.8375762	0.9858973	0.4077139	0.9875061	0.9106982	0.0822707
0.1716010	0.8296584	1.0297213	0.4230729	1.0338638	1.1402935	0.0592520
0.4541818	0.9050064	1.0269909	0.7118447	0.5304034	1.0325233	0.2149116
0.1056517	0.7006962	1.0502494	0.5157686	0.8483836	0.9849979	0.1472089
0.1532681	0.7670581	1.0699311	0.5149687	0.8382273	0.9272755	0.1894976
0.4093128	1.0032172	0.9595639	0.9058255	0.5155540	0.7609318	0.2559569
0.4718939	0.7136550	0.7851360	0.8948932	0.4263325	1.0368258	0.2070902
0.5839874	0.5883357	0.6267389	0.9164223	0.5548736	1.2313633	0.2349799
0.4861484	0.6533064	0.9514537	0.6865453	0.7361078	1.0012516	0.1384016
