G16	G1195	G1540	G1618	G1559	G1041	G1306	G187	G931	G824	G397	G99	G1322	G1466	G658	G992	G784	G672	G1477	G1206	G1357	G1369	G1266	G1621	G1397	G703	G1050	G949	G923	G1107	G129	G99	G120	G31	G128	G129	G126
0.2256093	0.0723553	0.3996407	0.5542386	0.4305660	0.4137535	0.9382587	0.9339363	0.8435529	0.8118735	0.9311619	0.6306934	0.1403080	0.2587496	0.1449626	0.3011866	0.3762942	0.8647851	0.6255251	0.8678629	0.5080369	0.6341648	0.2275667	0.9238146	0.7302634	0.9405651	0.8148813	0.5841758	1.0537776	0.0258585	0.5584271	0.6306934	0.8970564	0.8420724	1.0764219	0.5584271	1.0061976
0.2975357	0.0655830	0.2859558	0.7502078	0.4604539	0.5351635	0.8818223	0.7405194	0.7640451	0.9656377	0.8939979	0.4285782	0.1994287	0.1985722	0.1323357	0.5391749	0.3084633	1.0090794	0.8748144	0.8659395	0.4669059	0.6827058	0.4275214	0.7762680	0.8279703	0.8559200	0.7807864	0.5766454	0.8743885	0.0576081	0.5018981	0.4285782	0.9103214	0.9587827	1.2338227	0.5018981	0.8337181
0.2113687	0.4923348	0.7407901	0.1206419	0.5349390	0.4307290	0.5670570	0.0092440	0.5516173	0.5934512	0.5735800	0.2482136	0.7710594	0.6317470	0.0932762	0.1924840	0.6360382	0.2043981	0.3031429	0.9130140	0.0016148	1.1398681	0.1740500	0.7686921	0.3653070	0.9842484	0.1042312	0.2080221	0.0139413	0.0181810	0.3126862	0.2482136	0.9155847	0.6004163	0.7187667	0.3126862	0.0202671
0.3086570	0.0065079	0.7874510	0.3774392	0.1825490	0.8317092	0.9876306	0.4415858	0.6884945	1.0189984	0.8461324	0.1543616	0.1533332	0.7699724	0.0289634	0.5189746	0.1466124	0.3076532	0.7100971	0.4052433	0.1079552	0.3876761	0.3687522	0.9600142	0.5639441	0.9509898	0.4439592	0.4471280	0.9192917	0.1455340	0.4894956	0.1543616	0.8095028	0.8610401	1.1415146	0.4894956	0.3741167
0.3339036	0.0098558	0.7089637	0.3162031	0.2791718	1.0635098	0.8488761	0.4053103	0.6808208	0.8941209	1.0047297	0.2066904	0.2081871	0.8332371	0.0064791	0.3913503	0.0931085	0.3800333	0.7413457	0.4083831	0.1220215	0.4993744	0.3052837	0.6225328	0.6519368	1.0014388	0.4284448	0.4035217	0.9072214	0.1387442	0.5457457	0.2066904	0.8255171	0.8734481	0.9238160	0.5457457	0.3006216
0.2153620	0.1261348	0.4593165	0.6254959	0.0732873	0.4563835	0.8845899	0.6635256	0.8735184	0.8733127	0.6506141	0.7393135	0.2680586	0.1381309	0.1543836	0.2459173	0.4102026	0.5486596	0.6197614	0.5530454	0.1762322	1.0334117	0.1146844	0.6798980	0.4828479	0.8254861	0.8031143	0.5034564	0.9696792	0.3656067	0.5201175	0.7393135	0.4472957	0.8966146	0.9953324	0.5201175	0.7346234
0.2901524	0.1601804	0.5010112	0.4516488	0.0668357	0.5387310	1.0204388	0.8159124	0.9125891	1.0475217	0.6452649	0.7404013	0.1905189	0.1390930	0.1420134	0.2944053	0.3136080	1.0579597	0.6425103	0.5638454	0.1481170	1.0208720	0.2073757	0.8077019	0.4263759	0.8117688	1.0724136	0.5962108	1.0020989	0.2846413	0.5853625	0.7404013	0.4586232	0.7857348	1.0386678	0.5853625	0.6358675
0.1833889	0.5382326	0.8052187	0.7821688	0.1904191	0.5413227	0.9290929	1.0943946	0.6650909	1.0402584	0.8079941	0.2539319	0.2842947	0.1243767	0.2989217	0.4454724	0.7248314	1.1555114	0.9241353	0.6917424	0.3066985	0.7095940	0.3081356	0.7531688	0.7349257	1.0759852	1.0893770	0.2873583	1.0300895	0.0676881	0.8231952	0.2539319	0.9306545	0.9112987	0.8204918	0.8231952	0.7019437
0.1863599	0.5672399	0.7463962	0.7725986	0.1505613	0.5657097	0.5977514	1.0882364	0.7467293	0.8727562	0.9354316	0.2557983	0.2925400	0.0785829	0.2198491	0.4269050	0.7343837	0.9506482	0.8998485	0.7978120	0.2424947	0.8900920	0.4134757	0.0728546	0.9067708	0.9343855	0.8881153	0.2698736	1.0515488	0.0781504	0.8376114	0.2557983	0.9697082	0.7037243	0.9010721	0.8376114	0.8520029
0.3144696	0.5714730	0.7689869	0.9044558	0.2164273	0.6849544	0.8058444	1.0230434	0.8058732	0.9010808	0.8403023	0.2035196	0.2567086	0.0608831	0.3358564	0.3897989	0.7318747	0.8595978	0.9932289	0.6946186	0.2390002	0.8224123	0.4926365	0.1647053	0.9306331	0.8183202	0.8932685	0.1930898	1.0999800	0.0990569	0.7376481	0.2035196	0.8681003	0.7485827	0.9519916	0.7376481	0.8219883
0.1286931	0.4948472	0.0852394	0.1587103	0.2173360	0.3284482	0.7698528	0.8526753	1.1451616	1.0840987	0.8612049	1.0301079	0.2715735	0.3533344	0.3611382	0.4152621	0.2235448	0.7997154	0.5681700	0.9258276	0.2084568	1.0619236	0.0730786	0.7522477	0.8058481	1.0995525	0.8675346	0.1497198	1.0286064	0.2343301	0.1790439	1.0301079	0.6512215	0.6933050	0.8027331	0.1790439	0.8615495
