wt	TS_20delt_700	TS_20delt_750	TS_20delt_800	TS_20delt_850	TS_20delt_900	TS_20delt_950	TS_20delt_1000	
G1	0.2989999	0.2475116	0.1528966	0.1460067	0.1639056	0.1556267	0.1166345	0.1451392
G2	0.3413424	0.2414506	0.2163402	0.2604553	0.2059224	0.216949	0.1617181	0.2438277
G3	0.619569	0.4516096	0.4812543	0.499541	0.5231413	0.4948445	0.580921	0.5352683
G4	0.3985814	0.4915063	0.4843902	0.424838	0.3298195	0.2968004	0.3799718	0.3301278
G5	0.5850761	0.5155531	0.6664854	0.6381303	0.5416152	0.570057	0.6037902	0.6906473
G6	0.0687887	0.0419632	0.0273105	0.0603036	0.057044	0.0550001	0.0334897	0.0241701
G7	0.5655453	0.5874734	0.6253693	0.6804879	0.6392133	0.7536489	0.6533713	0.5748823
G8	0.4952519	0.4612801	0.486178	0.4000247	0.443112	0.3746252	0.4353595	0.4462387
G9	0.0160516	0.0135661	0.0124035	0.0080273	0.0054418	0.0111437	0.0057338	0.0231856
G10	0.4462654	0.3898403	0.4724743	0.4157252	0.4765073	0.4616107	0.4281637	0.4553701
G11	0.0233336	0.0250194	0.0126715	0.0132455	0.0118921	0.0031369	0.0222722	0.0104843
G12	0.4023196	0.3494216	0.4586884	0.3155941	0.4130896	0.3034731	0.3397639	0.2762369
G13	0.0513438	0.0434745	0.0364472	0.0451046	0.0337707	0.0149383	0.0215329	0.0251769
G14	0.0181884	0.0445361	0.039594	0.0199776	0.0252472	0.0095452	0.0120692	0.0323108
G15	0.0296683	0.0195285	0.0191472	0.00771	0.0025149	0.0040091	0.0104168	0.0048729
G16	0.0746033	0.0945697	0.1079669	0.0833697	0.0928746	0.0704945	0.0478477	0.104922
G17	0.3977057	0.416222	0.350057	0.3517949	0.3094714	0.3626313	0.2744203	0.246852
G18	0.4082599	0.4231395	0.5262737	0.5037054	0.533524	0.4308994	0.5078224	0.4440536
G19	0.0476163	0.0269465	0.0319743	0.0372751	0.0546598	0.0343161	0.0437135	0.0448876
G20	0	0.0006768	0.0028013	0.0042687	0.0022891	0.0006232	0.005283	0.001607
G21	0.055824	0.0202453	0.0632816	0.0534805	0.032664	0.0472082	0.0335463	0.0350933
G22	0.2771208	0.1583397	0.1678889	0.1019505	0.1094225	0.1273893	0.1284469	0.1607889
G23	0.4060593	0.4653801	0.3273469	0.2063113	0.0744822	0.0905007	0.131547	0.1061136
G24	0.5139409	0.3162402	0.4434522	0.3118269	0.2391211	0.1644156	0.1949373	0.1103452
G25	0.0857023	0.0988606	0.1243799	0.1203738	0.0937735	0.1098186	0.1277384	0.0926227
G26	0.7063528	0.6380352	0.6727876	0.6044617	0.6903608	0.737643	0.5749722	0.6533734
